crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,bbtown,lstat,medv
0.956,0,8.14,0,0.538,6.047,88.8,4.453,4,307,21,306.379,17.28,14.8
0.773,0,8.14,0,0.538,6.495,94.4,4.455,4,307,21,387.939,12.8,18.4
1.002,0,8.14,0,0.538,6.674,87.3,4.239,4,307,21,380.229,11.98,21
1.131,0,8.14,0,0.538,5.713,94.1,4.233,4,307,21,360.17,22.6,12.7
1.355,0,8.14,0,0.538,6.072,100,4.175,4,307,21,376.729,13.04,14.5
1.388,0,8.14,0,0.538,5.95,82,3.99,4,307,21,232.6,27.71,13.2
1.152,0,8.14,0,0.538,5.701,95,3.787,4,307,21,358.77,18.35,13.1
1.613,0,8.14,0,0.538,6.096,96.9,3.76,4,307,21,248.31,20.34,13.5
0.064,0,5.96,0,0.499,5.933,68.2,3.36,5,279,19.2,396.898,9.68,18.9
0.097,0,5.96,0,0.499,5.841,61.4,3.378,5,279,19.2,377.559,11.41,20
0.08,0,5.96,0,0.499,5.85,41.5,3.934,5,279,19.2,396.898,8.77,21
0.175,0,5.96,0,0.499,5.966,30.2,3.847,5,279,19.2,393.43,10.13,24.7
0.028,75,2.95,0,0.428,6.595,21.8,5.401,3,252,18.3,395.629,4.32,30.8
0.034,75,2.95,0,0.428,7.024,15.8,5.401,3,252,18.3,395.619,1.98,34.9
0.127,0,6.91,0,0.448,6.77,2.9,5.721,3,233,17.9,385.408,4.84,26.6
0.141,0,6.91,0,0.448,6.169,6.6,5.721,3,233,17.9,383.369,5.81,25.3
0.159,0,6.91,0,0.448,6.211,6.5,5.721,3,233,17.9,394.459,7.44,24.7
0.123,0,6.91,0,0.448,6.069,40,5.721,3,233,17.9,389.389,9.55,21.2
0.171,0,6.91,0,0.448,5.682,33.8,5.1,3,233,17.9,396.898,10.21,19.3
0.188,0,6.91,0,0.448,5.786,33.3,5.1,3,233,17.9,396.898,14.15,20
0.229,0,6.91,0,0.448,6.03,85.5,5.689,3,233,17.9,392.738,18.8,16.6
0.254,0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,396.898,30.81,14.4
0.22,0,6.91,0,0.448,5.602,62,6.088,3,233,17.9,396.898,16.2,19.4
0.089,21,5.64,0,0.439,5.963,45.7,6.815,4,243,16.8,395.559,13.45,19.7
0.043,21,5.64,0,0.439,6.115,63,6.815,4,243,16.8,393.969,9.43,20.5
0.054,21,5.64,0,0.439,6.511,21.1,6.815,4,243,16.8,396.898,5.28,25
0.05,21,5.64,0,0.439,5.998,21.4,6.815,4,243,16.8,396.898,8.43,23.4
0.014,75,4,0,0.41,5.888,47.6,7.32,3,469,21.1,396.898,14.8,18.9
0.013,90,1.22,0,0.403,7.249,21.9,8.697,5,226,17.9,395.93,4.81,35.4
0.021,85,0.74,0,0.41,6.383,35.7,9.188,2,313,17.3,396.898,5.77,24.7
0.014,100,1.32,0,0.411,6.816,40.5,8.325,5,256,15.1,392.898,3.95,31.6
0.154,25,5.13,0,0.453,6.145,29.2,7.815,8,284,19.7,390.68,6.86,23.3
0.103,25,5.13,0,0.453,5.927,47.2,6.932,8,284,19.7,396.898,9.22,19.6
0.149,25,5.13,0,0.453,5.741,66.2,7.225,8,284,19.7,395.109,13.15,18.7
0.172,25,5.13,0,0.453,5.966,93.4,6.818,8,284,19.7,378.078,14.44,16
0.11,25,5.13,0,0.453,6.456,67.8,7.225,8,284,19.7,396.898,6.73,22.2
0.126,25,5.13,0,0.453,6.762,43.4,7.981,8,284,19.7,395.578,9.5,25
0.02,17.5,1.38,0,0.416,7.104,59.5,9.223,3,216,18.6,393.238,8.05,33
0.036,80,3.37,0,0.398,6.29,17.8,6.611,4,337,16.1,396.898,4.67,23.5
0.044,80,3.37,0,0.398,5.787,31.1,6.611,4,337,16.1,396.898,10.24,19.4
0.058,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,396.209,8.1,22
0.136,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,396.898,13.09,17.4
0.128,12.5,6.07,0,0.409,5.885,33,6.498,4,345,18.9,396.898,8.79,20.9
0.088,0,10.81,0,0.413,6.417,6.6,5.287,4,305,19.2,383.729,6.72,24.2
0.159,0,10.81,0,0.413,5.961,17.5,5.287,4,305,19.2,376.939,9.88,21.7
0.092,0,10.81,0,0.413,6.065,7.8,5.287,4,305,19.2,390.908,5.52,22.8
0.195,0,10.81,0,0.413,6.245,6.2,5.287,4,305,19.2,377.17,7.54,23.4
0.079,0,12.83,0,0.437,6.273,6,4.251,5,398,18.7,394.92,6.78,24.1
0.095,0,12.83,0,0.437,6.286,45,4.503,5,398,18.7,383.229,8.94,21.4
0.102,0,12.83,0,0.437,6.279,74.5,4.052,5,398,18.7,373.658,11.97,20
0.087,0,12.83,0,0.437,6.14,45.8,4.09,5,398,18.7,386.959,10.27,20.8
0.056,0,12.83,0,0.437,6.232,53.7,5.014,5,398,18.7,386.398,12.34,21.2
0.084,0,12.83,0,0.437,5.874,36.6,4.503,5,398,18.7,396.059,9.1,20.3
0.041,25,4.86,0,0.426,6.727,33.5,5.401,4,281,19,396.898,5.29,28
0.045,25,4.86,0,0.426,6.619,70.4,5.401,4,281,19,395.629,7.22,23.9
0.037,25,4.86,0,0.426,6.302,32.2,5.401,4,281,19,396.898,6.72,24.8
0.036,25,4.86,0,0.426,6.167,46.7,5.401,4,281,19,390.639,7.51,22.9
0.051,0,4.49,0,0.449,6.389,48,4.779,3,247,18.5,396.898,9.62,23.9
0.057,0,4.49,0,0.449,6.63,56.1,4.438,3,247,18.5,392.299,6.53,26.6
0.052,0,4.49,0,0.449,6.015,45.1,4.427,3,247,18.5,395.988,12.86,22.5
0.072,0,4.49,0,0.449,6.121,56.8,3.748,3,247,18.5,395.148,8.44,22.2
0.057,0,3.41,0,0.489,7.007,86.3,3.422,2,270,17.8,396.898,5.5,23.6
0.053,0,3.41,0,0.489,7.079,63.1,3.414,2,270,17.8,396.059,5.7,28.7
0.047,0,3.41,0,0.489,6.417,66.1,3.092,2,270,17.8,392.18,8.81,22.6
0.039,0,3.41,0,0.489,6.405,73.9,3.092,2,270,17.8,393.549,8.2,22
0.042,28,15.04,0,0.464,6.442,53.6,3.666,4,270,18.2,395.01,8.16,22.9
0.029,28,15.04,0,0.464,6.211,28.9,3.666,4,270,18.2,396.328,6.21,25
0.043,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.898,10.59,20.6
0.122,0,2.89,0,0.445,6.625,57.8,3.495,2,276,18,357.979,6.65,28.4
0.115,0,2.89,0,0.445,6.163,69.6,3.495,2,276,18,391.828,11.34,21.4
0.121,0,2.89,0,0.445,8.069,76,3.495,2,276,18,396.898,4.21,38.7
0.082,0,2.89,0,0.445,7.82,36.9,3.495,2,276,18,393.529,3.57,43.8
0.069,0,2.89,0,0.445,7.416,62.5,3.495,2,276,18,396.898,6.19,33.2
0.149,0,8.56,0,0.52,6.727,79.9,2.778,5,384,20.9,394.76,9.42,27.5
0.114,0,8.56,0,0.52,6.781,71.3,2.856,5,384,20.9,395.578,7.67,26.5
0.229,0,8.56,0,0.52,6.405,85.4,2.715,5,384,20.9,70.8,10.63,18.6
0.212,0,8.56,0,0.52,6.137,87.4,2.715,5,384,20.9,394.469,13.44,19.3
0.14,0,8.56,0,0.52,6.167,90,2.421,5,384,20.9,392.689,12.33,20.1
0.133,0,8.56,0,0.52,5.851,96.7,2.107,5,384,20.9,394.049,16.47,19.5
0.171,0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,395.67,18.66,19.5
0.131,0,8.56,0,0.52,6.127,85.2,2.122,5,384,20.9,387.689,14.09,20.4
0.128,0,8.56,0,0.52,6.474,97.1,2.433,5,384,20.9,395.238,12.27,19.8
0.264,0,8.56,0,0.52,6.229,91.2,2.545,5,384,20.9,391.229,15.55,19.4
0.108,0,8.56,0,0.52,6.195,54.4,2.778,5,384,20.9,393.488,13,21.7
0.101,0,10.01,0,0.547,6.715,81.6,2.677,6,432,17.8,395.59,10.16,22.8
0.123,0,10.01,0,0.547,5.913,92.9,2.353,6,432,17.8,394.949,16.21,18.8
0.222,0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,396.898,17.09,18.7
0.142,0,10.01,0,0.547,6.254,84.2,2.256,6,432,17.8,388.738,10.45,18.5
0.171,0,10.01,0,0.547,5.928,88.2,2.463,6,432,17.8,344.908,15.76,18.3
0.132,0,10.01,0,0.547,6.176,72.5,2.73,6,432,17.8,393.299,12.04,21.2
0.151,0,10.01,0,0.547,6.021,82.6,2.747,6,432,17.8,394.51,10.3,19.2
0.131,0,10.01,0,0.547,5.872,73.1,2.477,6,432,17.8,338.629,15.37,20.4
0.145,0,10.01,0,0.547,5.731,65.2,2.759,6,432,17.8,391.5,13.61,19.3
0.069,0,25.65,0,0.581,5.87,69.7,2.258,2,188,19.1,389.148,14.37,22
0.072,0,25.65,0,0.581,6.004,84.1,2.197,2,188,19.1,377.67,14.27,20.3
0.093,0,25.65,0,0.581,5.961,92.9,2.087,2,188,19.1,378.09,17.93,20.5
0.15,0,25.65,0,0.581,5.856,97,1.944,2,188,19.1,370.309,25.41,17.3
0.098,0,25.65,0,0.581,5.879,95.8,2.006,2,188,19.1,379.379,17.58,18.8
0.169,0,25.65,0,0.581,5.986,88.4,1.993,2,188,19.1,385.02,14.81,21.4
0.387,0,25.65,0,0.581,5.613,95.6,1.757,2,188,19.1,359.289,27.26,15.7
0.259,0,21.89,0,0.624,5.693,96,1.788,4,437,21.2,392.109,17.19,16.2
0.325,0,21.89,0,0.624,6.431,98.8,1.812,4,437,21.2,396.898,15.39,18
0.881,0,21.89,0,0.624,5.637,94.7,1.98,4,437,21.2,396.898,18.34,14.3
0.34,0,21.89,0,0.624,6.458,98.9,2.118,4,437,21.2,395.039,12.6,19.2
1.193,0,21.89,0,0.624,6.326,97.7,2.271,4,437,21.2,396.898,12.26,19.6
0.59,0,21.89,0,0.624,6.372,97.9,2.327,4,437,21.2,385.76,11.12,23
0.33,0,21.89,0,0.624,5.822,95.4,2.47,4,437,21.2,388.689,15.03,18.4
0.976,0,21.89,0,0.624,5.757,98.4,2.346,4,437,21.2,262.76,17.31,15.6
0.558,0,21.89,0,0.624,6.335,98.2,2.111,4,437,21.2,394.67,16.96,18.1
0.323,0,21.89,0,0.624,5.942,93.5,1.967,4,437,21.2,378.25,16.9,17.4
0.352,0,21.89,0,0.624,6.454,98.4,1.85,4,437,21.2,394.078,14.59,17.1
0.25,0,21.89,0,0.624,5.857,98.2,1.669,4,437,21.2,392.039,21.32,13.3
0.545,0,21.89,0,0.624,6.151,97.9,1.669,4,437,21.2,396.898,18.46,17.8
0.291,0,21.89,0,0.624,6.174,93.6,1.612,4,437,21.2,388.078,24.16,14
1.629,0,21.89,0,0.624,5.019,100,1.439,4,437,21.2,396.898,34.41,14.4
3.321,0,19.58,1,0.871,5.403,100,1.322,5,403,14.7,396.898,26.82,13.4
4.097,0,19.58,0,0.871,5.468,100,1.412,5,403,14.7,396.898,26.42,15.6
2.78,0,19.58,0,0.871,4.903,97.8,1.346,5,403,14.7,396.898,29.29,11.8
2.379,0,19.58,0,0.871,6.13,100,1.419,5,403,14.7,172.909,27.8,13.8
2.155,0,19.58,0,0.871,5.628,100,1.517,5,403,14.7,169.27,16.65,15.6
2.369,0,19.58,0,0.871,4.926,95.7,1.461,5,403,14.7,391.709,29.53,14.6
2.331,0,19.58,0,0.871,5.186,93.8,1.53,5,403,14.7,356.988,28.32,17.8
2.734,0,19.58,0,0.871,5.597,94.9,1.526,5,403,14.7,351.85,21.45,15.4
1.657,0,19.58,0,0.871,6.122,97.3,1.618,5,403,14.7,372.799,14.1,21.5
1.496,0,19.58,0,0.871,5.404,100,1.592,5,403,14.7,341.6,13.28,19.6
1.127,0,19.58,1,0.871,5.012,88,1.61,5,403,14.7,343.279,12.12,15.3
2.149,0,19.58,0,0.871,5.709,98.5,1.623,5,403,14.7,261.949,15.79,19.4
1.414,0,19.58,1,0.871,6.129,96,1.749,5,403,14.7,321.02,15.12,17
3.535,0,19.58,1,0.871,6.152,82.6,1.745,5,403,14.7,88.01,15.02,15.6
2.447,0,19.58,0,0.871,5.272,94,1.736,5,403,14.7,88.63,16.14,13.1
1.224,0,19.58,0,0.605,6.943,97.4,1.877,5,403,14.7,363.43,4.59,41.3
1.343,0,19.58,0,0.605,6.066,100,1.757,5,403,14.7,353.889,6.43,24.3
1.425,0,19.58,0,0.871,6.51,100,1.766,5,403,14.7,364.309,7.39,23.3
1.273,0,19.58,1,0.605,6.25,92.6,1.798,5,403,14.7,338.92,5.5,27
1.463,0,19.58,0,0.605,7.489,90.8,1.971,5,403,14.7,374.43,1.73,50
1.834,0,19.58,1,0.605,7.802,98.2,2.041,5,403,14.7,389.609,1.92,50
1.519,0,19.58,1,0.605,8.375,93.9,2.162,5,403,14.7,388.449,3.32,50
2.242,0,19.58,0,0.605,5.854,91.8,2.422,5,403,14.7,395.109,11.64,22.7
2.924,0,19.58,0,0.605,6.101,93,2.283,5,403,14.7,240.159,9.81,25
2.01,0,19.58,0,0.605,7.929,96.2,2.046,5,403,14.7,369.299,3.7,50
1.8,0,19.58,0,0.605,5.877,79.2,2.426,5,403,14.7,227.609,12.14,23.8
2.3,0,19.58,0,0.605,6.319,96.1,2.1,5,403,14.7,297.09,11.1,23.8
2.45,0,19.58,0,0.605,6.402,95.2,2.262,5,403,14.7,330.039,11.32,22.3
1.207,0,19.58,0,0.605,5.875,94.6,2.426,5,403,14.7,292.289,14.43,17.4
2.314,0,19.58,0,0.605,5.88,97.3,2.389,5,403,14.7,348.129,12.03,19.1
0.139,0,4.05,0,0.51,5.572,88.5,2.596,5,296,16.6,396.898,14.69,23.1
0.092,0,4.05,0,0.51,6.416,84.1,2.646,5,296,16.6,395.5,9.04,23.6
0.084,0,4.05,0,0.51,5.859,68.7,2.702,5,296,16.6,393.229,9.64,22.6
0.067,0,4.05,0,0.51,6.546,33.1,3.132,5,296,16.6,390.959,5.33,29.4
0.07,0,4.05,0,0.51,6.02,47.2,3.555,5,296,16.6,393.229,10.11,23.2
0.054,0,4.05,0,0.51,6.315,73.4,3.317,5,296,16.6,395.6,6.29,24.6
0.066,0,4.05,0,0.51,6.86,74.4,2.915,5,296,16.6,391.27,6.92,29.9
0.058,0,2.46,0,0.488,6.98,58.4,2.829,3,193,17.8,396.898,5.04,37.2
0.066,0,2.46,0,0.488,7.765,83.3,2.741,3,193,17.8,395.559,7.56,39.8
0.069,0,2.46,0,0.488,6.144,62.2,2.598,3,193,17.8,396.898,9.45,36.2
0.091,0,2.46,0,0.488,7.155,92.2,2.701,3,193,17.8,394.119,4.82,37.9
0.1,0,2.46,0,0.488,6.563,95.6,2.847,3,193,17.8,396.898,5.68,32.5
0.083,0,2.46,0,0.488,5.604,89.8,2.988,3,193,17.8,391,13.98,26.4
0.06,0,2.46,0,0.488,6.153,68.8,3.28,3,193,17.8,387.109,13.15,29.6
0.056,0,2.46,0,0.488,7.831,53.6,3.199,3,193,17.8,392.629,4.45,50
0.079,45,3.44,0,0.437,6.782,41.1,3.789,5,398,15.2,393.869,6.68,32
0.126,45,3.44,0,0.437,6.556,29.1,4.567,5,398,15.2,382.84,4.56,29.8
0.084,45,3.44,0,0.437,7.185,38.9,4.567,5,398,15.2,396.898,5.39,34.9
0.091,45,3.44,0,0.437,6.951,21.5,6.48,5,398,15.2,377.68,5.1,37
0.069,45,3.44,0,0.437,6.739,30.8,6.48,5,398,15.2,389.709,4.69,30.5
0.087,45,3.44,0,0.437,7.178,26.3,6.48,5,398,15.2,390.488,2.87,36.4
0.022,60,2.93,0,0.401,6.8,9.9,6.22,1,265,15.6,393.369,5.03,31.1
0.014,60,2.93,0,0.401,6.604,18.8,6.22,1,265,15.6,376.699,4.38,29.1
0.014,80,0.46,0,0.422,7.875,32,5.648,4,255,14.4,394.229,2.97,50
0.04,80,1.52,0,0.404,7.287,34.1,7.309,2,329,12.6,396.898,4.08,33.3
0.047,80,1.52,0,0.404,7.107,36.6,7.309,2,329,12.6,354.309,8.61,30.3
0.038,80,1.52,0,0.404,7.274,38.3,7.309,2,329,12.6,392.199,6.62,34.6
0.031,95,1.47,0,0.403,6.975,15.3,7.653,3,402,17,396.898,4.56,34.9
0.018,95,1.47,0,0.403,7.135,13.9,7.653,3,402,17,384.299,4.45,32.9
0.034,82.5,2.03,0,0.415,6.162,38.4,6.27,2,348,14.7,393.77,7.43,24.1
0.022,82.5,2.03,0,0.415,7.61,15.7,6.27,2,348,14.7,395.379,3.11,42.3
0.035,95,2.68,0,0.416,7.853,33.2,5.118,4,224,14.7,392.779,3.81,48.5
0.02,95,2.68,0,0.416,8.034,31.9,5.118,4,224,14.7,390.549,2.88,50
0.136,0,10.59,0,0.489,5.891,22.3,3.945,4,277,18.6,396.898,10.87,22.6
0.23,0,10.59,0,0.489,6.326,52.5,4.355,4,277,18.6,394.869,10.97,24.4
0.252,0,10.59,0,0.489,5.783,72.7,4.355,4,277,18.6,389.43,18.06,22.5
0.136,0,10.59,1,0.489,6.064,59.1,4.239,4,277,18.6,381.318,14.66,24.4
0.436,0,10.59,1,0.489,5.344,100,3.875,4,277,18.6,396.898,23.09,20
0.174,0,10.59,1,0.489,5.96,92.1,3.877,4,277,18.6,393.25,17.27,21.7
0.376,0,10.59,1,0.489,5.404,88.6,3.665,4,277,18.6,395.238,23.98,19.3
0.217,0,10.59,1,0.489,5.807,53.8,3.653,4,277,18.6,390.939,16.03,22.4
0.141,0,10.59,0,0.489,6.375,32.3,3.945,4,277,18.6,385.809,9.38,28.1
0.29,0,10.59,0,0.489,5.412,9.8,3.587,4,277,18.6,348.93,29.55,23.7
0.198,0,10.59,0,0.489,6.182,42.4,3.945,4,277,18.6,393.629,9.47,25
0.046,0,13.89,1,0.55,5.888,56,3.112,5,276,16.4,392.799,13.51,23.3
0.07,0,13.89,0,0.55,6.642,85.1,3.421,5,276,16.4,392.779,9.69,28.7
0.111,0,13.89,1,0.55,5.951,93.8,2.889,5,276,16.4,396.898,17.92,21.5
0.114,0,13.89,1,0.55,6.373,92.4,3.363,5,276,16.4,393.738,10.5,23
0.358,0,6.2,1,0.507,6.951,88.5,2.862,8,307,17.4,391.699,9.71,26.7
0.408,0,6.2,1,0.507,6.164,91.3,3.048,8,307,17.4,395.238,21.46,21.7
0.624,0,6.2,1,0.507,6.879,77.7,3.272,8,307,17.4,390.389,9.93,27.5
0.615,0,6.2,0,0.507,6.618,80.8,3.272,8,307,17.4,396.898,7.6,30.1
0.315,0,6.2,0,0.504,8.266,78.3,2.894,8,307,17.4,385.049,4.14,44.8
0.527,0,6.2,0,0.504,8.725,83,2.894,8,307,17.4,382,4.63,50
0.382,0,6.2,0,0.504,8.04,86.5,3.216,8,307,17.4,387.379,3.13,37.6
0.412,0,6.2,0,0.504,7.163,79.9,3.216,8,307,17.4,372.078,6.36,31.6
0.298,0,6.2,0,0.504,7.686,17,3.375,8,307,17.4,377.51,3.92,46.7
0.442,0,6.2,0,0.504,6.552,21.4,3.375,8,307,17.4,380.34,3.76,31.5
0.537,0,6.2,0,0.504,5.981,68.1,3.671,8,307,17.4,378.35,11.65,24.3
0.463,0,6.2,0,0.504,7.412,76.9,3.671,8,307,17.4,376.139,5.25,31.7
0.575,0,6.2,0,0.507,8.337,73.3,3.838,8,307,17.4,385.908,2.47,41.7
0.331,0,6.2,0,0.507,8.247,70.4,3.652,8,307,17.4,378.949,3.95,48.3
0.448,0,6.2,1,0.507,6.726,66.5,3.652,8,307,17.4,360.199,8.05,29
0.33,0,6.2,0,0.507,6.086,61.5,3.652,8,307,17.4,376.75,10.88,24
0.521,0,6.2,1,0.507,6.631,76.5,4.148,8,307,17.4,388.449,9.54,25.1
0.512,0,6.2,0,0.507,7.358,71.6,4.148,8,307,17.4,390.068,4.73,31.5
0.082,30,4.93,0,0.428,6.481,18.5,6.19,6,300,16.6,379.408,6.36,23.7
0.093,30,4.93,0,0.428,6.606,42.2,6.19,6,300,16.6,383.779,7.37,23.3
0.113,30,4.93,0,0.428,6.897,54.3,6.336,6,300,16.6,391.25,11.38,22
0.106,30,4.93,0,0.428,6.095,65.1,6.336,6,300,16.6,394.619,12.4,20.1
0.103,30,4.93,0,0.428,6.358,52.9,7.035,6,300,16.6,372.75,11.22,22.2
0.128,30,4.93,0,0.428,6.393,7.8,7.035,6,300,16.6,374.709,5.19,23.7
0.206,22,5.86,0,0.431,5.593,76.5,7.955,7,330,19.1,372.488,12.5,17.6
0.191,22,5.86,0,0.431,5.605,70.2,7.955,7,330,19.1,389.129,18.46,18.5
0.34,22,5.86,0,0.431,6.108,34.9,8.055,7,330,19.1,390.18,9.16,24.3
0.197,22,5.86,0,0.431,6.226,79.2,8.055,7,330,19.1,376.139,10.15,20.5
0.164,22,5.86,0,0.431,6.433,49.1,7.826,7,330,19.1,374.709,9.52,24.5
0.191,22,5.86,0,0.431,6.718,17.5,7.826,7,330,19.1,393.738,6.56,26.2
0.14,22,5.86,0,0.431,6.487,13,7.397,7,330,19.1,396.279,5.9,24.4
0.214,22,5.86,0,0.431,6.438,8.9,7.397,7,330,19.1,377.068,3.59,24.8
0.082,22,5.86,0,0.431,6.957,6.8,8.907,7,330,19.1,386.09,3.53,29.6
0.369,22,5.86,0,0.431,8.259,8.4,8.907,7,330,19.1,396.898,3.54,42.8
0.048,80,3.64,0,0.392,6.108,32,9.22,1,315,16.4,392.889,6.57,21.9
0.035,80,3.64,0,0.392,5.876,19.1,9.22,1,315,16.4,395.18,9.25,20.9
0.015,90,3.75,0,0.394,7.454,34.2,6.336,3,244,15.9,386.34,3.11,44
0.612,20,3.97,0,0.647,8.704,86.9,1.801,5,264,13,389.699,5.12,50
0.664,20,3.97,0,0.647,7.333,100,1.895,5,264,13,383.289,7.79,36
0.657,20,3.97,0,0.647,6.842,100,2.011,5,264,13,391.93,6.9,30.1
0.54,20,3.97,0,0.647,7.203,81.8,2.112,5,264,13,392.799,9.59,33.8
0.534,20,3.97,0,0.647,7.52,89.4,2.14,5,264,13,388.369,7.26,43.1
0.52,20,3.97,0,0.647,8.398,91.5,2.288,5,264,13,386.859,5.91,48.8
0.825,20,3.97,0,0.647,7.327,94.5,2.079,5,264,13,393.42,11.25,31
0.55,20,3.97,0,0.647,7.206,91.6,1.93,5,264,13,387.889,8.1,36.5
0.762,20,3.97,0,0.647,5.56,62.8,1.986,5,264,13,392.398,10.45,22.8
0.786,20,3.97,0,0.647,7.014,84.6,2.133,5,264,13,384.068,14.79,30.7
0.578,20,3.97,0,0.575,8.297,67,2.422,5,264,13,384.539,7.44,50
0.54,20,3.97,0,0.575,7.47,52.6,2.872,5,264,13,390.299,3.16,43.5
0.091,20,6.96,1,0.464,5.92,61.5,3.917,3,223,18.6,391.34,13.65,20.7
0.299,20,6.96,0,0.464,5.856,42.1,4.429,3,223,18.6,388.648,13,21.1
0.162,20,6.96,0,0.464,6.24,16.3,4.429,3,223,18.6,396.898,6.59,25.2
0.115,20,6.96,0,0.464,6.538,58.7,3.917,3,223,18.6,394.959,7.73,24.4
0.222,20,6.96,1,0.464,7.691,51.8,4.366,3,223,18.6,390.77,6.58,35.2
0.056,40,6.41,1,0.447,6.758,32.9,4.078,4,254,17.6,396.898,3.53,32.4
0.096,40,6.41,0,0.447,6.854,42.8,4.267,4,254,17.6,396.898,2.98,32
0.105,40,6.41,1,0.447,7.267,49,4.787,4,254,17.6,389.25,6.05,33.2
0.061,40,6.41,1,0.447,6.826,27.6,4.863,4,254,17.6,393.449,4.16,33.1
0.08,40,6.41,0,0.447,6.482,32.1,4.14,4,254,17.6,396.898,7.19,29.1
0.21,20,3.33,0,0.443,6.812,32.2,4.101,5,216,14.9,396.898,4.85,35.1
0.036,20,3.33,0,0.443,7.82,64.5,4.695,5,216,14.9,387.309,3.76,45.4
0.037,20,3.33,0,0.443,6.968,37.2,5.245,5,216,14.9,392.229,4.59,35.4
0.061,20,3.33,1,0.443,7.645,49.7,5.212,5,216,14.9,377.068,3.01,46
0.015,90,1.21,1,0.401,7.923,24.8,5.885,1,198,13.6,395.52,3.16,50
0.009,90,2.97,0,0.4,7.088,20.8,7.307,1,285,15.3,394.719,7.85,32.2
0.011,55,2.25,0,0.389,6.453,31.9,7.307,1,300,15.3,394.719,8.23,22
0.02,80,1.76,0,0.385,6.23,31.5,9.089,1,241,18.2,341.6,12.93,20.1
0.039,52.5,5.32,0,0.405,6.209,31.3,7.317,6,293,16.6,396.898,7.14,23.2
0.046,52.5,5.32,0,0.405,6.315,45.6,7.317,6,293,16.6,396.898,7.6,22.3
0.043,52.5,5.32,0,0.405,6.565,22.9,7.317,6,293,16.6,371.719,9.51,24.8
0.035,80,4.95,0,0.411,6.861,27.9,5.117,4,245,19.2,396.898,3.33,28.5
0.079,80,4.95,0,0.411,7.148,27.7,5.117,4,245,19.2,396.898,3.56,37.3
0.036,80,4.95,0,0.411,6.63,23.4,5.117,4,245,19.2,396.898,4.7,27.9
0.083,0,13.92,0,0.437,6.127,18.4,5.503,4,289,16,396.898,8.58,23.9
