1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,y
9.3,27,72766.645,3560.405,9781.672,644.879,644.879,1112.188,288,788.523,4.493,0.998,22.701,1.049,92.129,1.824,0.95,0.979
1.138,3,2208.183,1410.089,6732.248,11.143,11.143,515.967,288,561.21,1.178,0.998,6.372,1.019,0,0.136,0.95,0.98
2.088,6,6838.593,1364.796,6834.172,26.113,26.113,630.902,288,580.222,1.324,0.998,7.214,1.019,16.216,0.287,0.95,0.98
3.144,9,8379.729,1386.76,7124.753,60.361,60.361,601.855,288,586.836,1.388,0.998,7.537,1.02,12.915,0.256,0.95,0.98
4.161,12,14724.872,1547.468,7802.704,113.798,113.798,656.974,288,613.035,1.656,0.998,8.962,1.022,17.894,0.354,0.95,0.98
5.14,15,21637.135,1924.322,8499.345,175.329,175.329,726.517,288,644.72,2.077,0.998,11.139,1.026,26.09,0.516,0.95,0.98
6.175,18,29794.302,2307.344,8833.546,246.236,246.236,794.789,288,675.268,2.5,0.998,13.287,1.03,35.393,0.701,0.95,0.98
7.148,21,38980.287,2678.088,9134.934,332.194,332.194,849.545,288,699.082,2.96,0.998,15.592,1.035,45.473,0.9,0.95,0.98
8.206,24,50998.05,3087.634,9320.404,438.004,438.004,946.906,288,740.952,3.572,0.998,18.525,1.041,61.954,1.226,0.95,0.98
9.3,27,72767.018,3560.412,9782.442,644.844,644.844,1111.29,288,788.382,4.492,0.998,22.674,1.049,92.023,1.822,0.95,0.98
1.138,3,2951.927,1417.178,6740.109,11.583,11.583,538.322,288,564.943,1.207,0.998,6.528,1.019,0,0.162,0.95,0.981
2.088,6,6804.076,1363.758,6836.062,25.915,25.915,629.367,288,579.931,1.323,0.998,7.2,1.019,16.701,0.286,0.95,0.981
3.144,9,8379.829,1386.761,7127.343,60.364,60.364,601.03,288,586.686,1.388,0.998,7.53,1.02,12.881,0.255,0.95,0.981
4.161,12,14724.969,1547.469,7804.726,113.802,113.802,656.081,288,612.872,1.656,0.998,8.953,1.022,17.852,0.353,0.95,0.981
5.14,15,21637.62,1924.323,8500.268,175.336,175.336,725.531,288,644.537,2.077,0.998,11.128,1.026,26.034,0.515,0.95,0.981
6.175,18,29794.58,2307.33,8834.58,246.315,246.315,793.671,288,675.044,2.499,0.998,13.273,1.03,35.321,0.699,0.95,0.981
7.148,21,38979.934,2678.088,9135.434,332.058,332.058,848.513,288,698.909,2.96,0.998,15.575,1.035,45.392,0.899,0.95,0.981
8.206,24,50998.096,3087.637,9320.766,438.054,438.054,945.871,288,740.79,3.571,0.998,18.504,1.041,61.857,1.225,0.95,0.981
9.3,27,72767.717,3560.417,9783.213,644.801,644.801,1110.396,288,788.242,4.49,0.998,22.647,1.049,91.917,1.82,0.95,0.981
1.138,3,3774.812,1418.886,6744.353,11.699,11.699,562.543,288,568.684,1.236,0.998,6.688,1.019,0,0.191,0.95,0.982
2.088,6,6606.714,1358.928,6835.649,25.032,25.032,624.597,288,578.975,1.316,0.998,7.155,1.019,18.868,0.282,0.95,0.982
3.144,9,8379.928,1386.761,7129.934,60.365,60.365,600.208,288,586.536,1.388,0.998,7.522,1.02,12.847,0.254,0.95,0.982
4.161,12,14725.068,1547.47,7806.748,113.794,113.794,655.19,288,612.71,1.656,0.998,8.943,1.022,17.809,0.353,0.95,0.982
5.14,15,21637.728,1924.325,8501.181,175.288,175.288,724.546,288,644.354,2.076,0.998,11.116,1.026,25.977,0.514,0.95,0.982
6.175,18,29794.844,2307.317,8835.613,246.246,246.246,792.556,288,674.821,2.499,0.998,13.259,1.03,35.248,0.698,0.95,0.982
7.148,21,38979.558,2678.088,9135.933,332.152,332.152,847.483,288,698.736,2.959,0.998,15.558,1.035,45.312,0.897,0.95,0.982
8.206,24,50998.04,3087.637,9321.126,438.031,438.031,944.838,288,740.628,3.57,0.998,18.482,1.041,61.761,1.223,0.95,0.982
9.3,27,72768.206,3560.423,9783.976,644.965,644.965,1109.503,288,788.103,4.489,0.998,22.619,1.049,91.811,1.817,0.95,0.982
1.138,3,4053.735,1417.887,6746.47,11.648,11.648,570.474,288,569.653,1.245,0.998,6.73,1.019,0,0.2,0.95,0.983
2.088,6,6563.076,1358.234,6837.777,24.908,24.908,622.744,288,578.637,1.314,0.998,7.139,1.019,19.074,0.28,0.95,0.983
3.144,9,8380.079,1386.762,7132.53,60.363,60.363,599.387,288,586.387,1.388,0.998,7.515,1.02,12.813,0.254,0.95,0.983
4.161,12,14725.087,1547.47,7808.765,113.802,113.802,654.301,288,612.548,1.656,0.998,8.934,1.022,17.767,0.352,0.95,0.983
5.14,15,21637.989,1924.326,8502.099,175.321,175.321,723.564,288,644.172,2.076,0.998,11.105,1.026,25.921,0.513,0.95,0.983
6.175,18,29795.241,2307.311,8836.655,246.255,246.255,791.444,288,674.599,2.499,0.998,13.246,1.03,35.176,0.696,0.95,0.983
7.148,21,38979.213,2678.089,9136.433,332.045,332.045,846.457,288,698.564,2.958,0.998,15.541,1.035,45.231,0.896,0.95,0.983
8.206,24,50997.94,3087.634,9321.484,438.004,438.004,943.809,288,740.467,3.569,0.998,18.461,1.041,61.664,1.221,0.95,0.983
9.3,27,72768.423,3560.431,9784.732,645.029,645.029,1108.612,288,787.964,4.488,0.998,22.592,1.049,91.705,1.815,0.95,0.983
1.138,3,5449.868,1407.844,6743.278,11.046,11.046,610.426,288,575.121,1.288,0.998,6.975,1.019,0,0.249,0.95,0.984
2.088,6,6491.693,1356.728,6839.411,24.629,24.629,620.37,288,578.179,1.311,0.998,7.118,1.019,19.526,0.278,0.95,0.984
3.144,9,8380.141,1386.763,7135.12,60.365,60.365,598.568,288,586.237,1.388,0.998,7.508,1.02,12.78,0.253,0.95,0.984
4.161,12,14725.17,1547.471,7810.79,113.792,113.792,653.415,288,612.387,1.656,0.998,8.925,1.022,17.724,0.351,0.95,0.984
5.14,15,21638.127,1924.328,8503.014,175.304,175.304,722.583,288,643.99,2.076,0.998,11.093,1.026,25.865,0.512,0.95,0.984
6.175,18,29795.502,2307.3,8837.687,246.333,246.333,790.336,288,674.376,2.498,0.998,13.232,1.03,35.103,0.695,0.95,0.984
7.148,21,38978.773,2678.088,9136.933,332.181,332.181,845.431,288,698.392,2.958,0.998,15.524,1.035,45.15,0.894,0.95,0.984
8.206,24,50997.82,3087.633,9321.842,438.067,438.067,942.782,288,740.306,3.568,0.998,18.44,1.041,61.568,1.219,0.95,0.984
9.3,27,72770.382,3560.421,9785.504,644.892,644.892,1107.732,288,787.827,4.487,0.998,22.565,1.049,91.601,1.813,0.95,0.984
1.138,3,6303.74,1396.991,6739.385,10.4,10.4,634.168,288,578.057,1.312,0.998,7.11,1.019,0,0.278,0.95,0.985
2.088,6,6420.429,1355.785,6841.396,24.465,24.465,617.954,288,577.8,1.309,0.998,7.101,1.019,20.263,0.276,0.95,0.985
3.144,9,8380.258,1386.763,7137.715,60.371,60.371,597.75,288,586.088,1.388,0.998,7.501,1.02,12.746,0.252,0.95,0.985
4.161,12,14725.326,1547.471,7812.823,113.806,113.806,652.531,288,612.226,1.655,0.998,8.916,1.022,17.682,0.35,0.95,0.985
5.14,15,21638.294,1924.33,8503.93,175.328,175.328,721.606,288,643.808,2.076,0.998,11.082,1.026,25.809,0.511,0.95,0.985
6.175,18,29795.876,2307.294,8838.727,246.256,246.256,789.231,288,674.155,2.498,0.998,13.218,1.03,35.031,0.694,0.95,0.985
7.148,21,38978.199,2678.082,9137.443,332.044,332.044,844.398,288,698.223,2.957,0.998,15.507,1.035,45.07,0.892,0.95,0.985
8.206,24,50997.702,3087.631,9322.199,437.99,437.99,941.759,288,740.146,3.567,0.998,18.419,1.041,61.472,1.217,0.95,0.985
9.3,27,72771.461,3560.421,9786.262,644.815,644.815,1106.85,288,787.691,4.485,0.998,22.538,1.049,91.496,1.811,0.95,0.985
1.138,3,7325.655,1374.993,6728.644,9.099,9.099,666.257,288,580.93,1.334,0.998,7.245,1.019,4.989,0.322,0.95,0.986
2.088,6,6310.331,1354.347,6843.08,24.201,24.201,614.503,288,577.215,1.305,0.998,7.074,1.019,20.679,0.272,0.95,0.986
3.144,9,8380.39,1386.764,7140.311,60.369,60.369,596.935,288,585.939,1.388,0.998,7.493,1.02,12.712,0.252,0.95,0.986
4.161,12,14725.397,1547.472,7814.85,113.784,113.784,651.649,288,612.065,1.655,0.998,8.907,1.022,17.64,0.349,0.95,0.986
5.14,15,21638.498,1924.331,8504.847,175.3,175.3,720.631,288,643.627,2.075,0.998,11.071,1.026,25.754,0.51,0.95,0.986
6.175,18,29796.172,2307.284,8839.761,246.337,246.337,788.13,288,673.935,2.497,0.998,13.205,1.03,34.959,0.692,0.95,0.986
7.148,21,38977.811,2678.079,9137.95,332.138,332.138,843.367,288,698.053,2.957,0.998,15.49,1.035,44.989,0.891,0.95,0.986
8.206,24,50997.591,3087.629,9322.556,437.99,437.99,940.739,288,739.987,3.566,0.998,18.398,1.041,61.376,1.215,0.95,0.986
9.3,27,72771.813,3560.429,9787.008,644.825,644.825,1105.967,288,787.555,4.484,0.998,22.511,1.049,91.391,1.809,0.95,0.986
1.138,3,7456.772,1363.431,6723.993,8.435,8.435,672.064,288,580.955,1.334,0.998,7.246,1.019,11.382,0.333,0.95,0.987
2.088,6,6089.628,1351.779,6844.03,23.732,23.732,608.51,288,576.211,1.298,0.998,7.027,1.019,21.587,0.266,0.95,0.987
3.144,9,8380.489,1386.764,7142.906,60.376,60.376,596.121,288,585.79,1.387,0.998,7.486,1.02,12.678,0.251,0.95,0.987
4.161,12,14725.441,1547.473,7816.877,113.809,113.809,650.769,288,611.904,1.655,0.998,8.898,1.022,17.598,0.348,0.95,0.987
5.14,15,21638.563,1924.334,8505.76,175.334,175.334,719.658,288,643.446,2.075,0.998,11.059,1.026,25.698,0.509,0.95,0.987
6.175,18,29796.443,2307.276,8840.795,246.268,246.268,787.032,288,673.714,2.497,0.998,13.191,1.03,34.887,0.691,0.95,0.987
7.148,21,38977.355,2678.079,9138.456,332.161,332.161,842.338,288,697.883,2.956,0.998,15.473,1.035,44.908,0.889,0.95,0.987
8.206,24,50997.502,3087.626,9322.912,438.025,438.025,939.722,288,739.828,3.566,0.998,18.376,1.041,61.281,1.213,0.95,0.987
9.3,27,72772.94,3560.423,9787.758,645.069,645.069,1105.089,288,787.42,4.483,0.998,22.484,1.049,91.287,1.807,0.95,0.987
1.138,3,6810.551,1333.835,6707.429,6.756,6.756,661.708,288,578.015,1.308,0.998,7.107,1.019,25.58,0.328,0.95,0.988
2.088,6,6169.829,1352.942,6847.342,23.94,23.94,609.547,288,576.425,1.301,0.998,7.037,1.019,21.312,0.267,0.95,0.988
3.144,9,8380.543,1386.765,7145.498,60.364,60.364,595.308,288,585.641,1.387,0.998,7.479,1.02,12.645,0.25,0.95,0.988
4.161,12,14725.555,1547.473,7818.911,113.809,113.809,649.892,288,611.744,1.655,0.998,8.889,1.022,17.556,0.348,0.95,0.988
5.14,15,21638.709,1924.336,8506.676,175.299,175.299,718.687,288,643.265,2.075,0.998,11.048,1.026,25.642,0.508,0.95,0.988
6.175,18,29796.753,2307.27,8841.83,246.297,246.297,785.938,288,673.495,2.497,0.998,13.177,1.03,34.816,0.689,0.95,0.988
7.148,21,38977.062,2678.077,9138.963,332.158,332.158,841.313,288,697.714,2.955,0.998,15.456,1.035,44.828,0.888,0.95,0.988
8.206,24,50997.385,3087.624,9323.267,438.127,438.127,938.707,288,739.67,3.565,0.998,18.355,1.041,61.186,1.211,0.95,0.988
9.3,27,72773.589,3560.429,9788.5,645.021,645.021,1104.213,288,787.286,4.482,0.998,22.457,1.049,91.183,1.805,0.95,0.988
1.138,3,4893.243,1312.751,6695.191,5.598,5.598,615.36,288,570.584,1.249,0.998,6.769,1.019,33.173,0.278,0.95,0.989
2.088,6,5864.141,1349.84,6847.962,23.383,23.383,601.383,288,575.053,1.291,0.998,6.975,1.019,22.212,0.258,0.95,0.989
3.144,9,8380.698,1386.766,7148.098,60.366,60.366,594.498,288,585.492,1.387,0.998,7.472,1.02,12.611,0.25,0.95,0.989
4.161,12,14725.621,1547.474,7820.943,113.813,113.813,649.017,288,611.584,1.655,0.998,8.881,1.022,17.514,0.347,0.95,0.989
5.14,15,21638.765,1924.338,8507.59,175.35,175.35,717.719,288,643.085,2.074,0.998,11.037,1.026,25.587,0.506,0.95,0.989
6.175,18,29797.061,2307.262,8842.865,246.305,246.305,784.846,288,673.276,2.496,0.998,13.164,1.03,34.745,0.688,0.95,0.989
7.148,21,38976.661,2678.075,9139.469,332.072,332.072,840.29,288,697.546,2.955,0.998,15.439,1.035,44.747,0.886,0.95,0.989
8.206,24,50997.254,3087.623,9323.622,438.133,438.133,937.696,288,739.513,3.564,0.998,18.334,1.041,61.091,1.209,0.95,0.989
9.3,27,72773.853,3560.434,9789.231,645.058,645.058,1103.336,288,787.152,4.48,0.998,22.43,1.049,91.079,1.803,0.95,0.989
1.138,3,3716.231,1308.145,6693.633,5.337,5.337,582.833,288,565.527,1.212,0.998,6.55,1.019,33.388,0.241,0.95,0.99
2.088,6,5609.242,1347.854,6849.289,23.017,23.017,594.393,288,573.959,1.283,0.998,6.925,1.019,22.981,0.25,0.95,0.99
3.144,9,8380.817,1386.766,7150.696,60.381,60.381,593.689,288,585.343,1.387,0.998,7.464,1.02,12.577,0.249,0.95,0.99
4.161,12,14725.672,1547.475,7822.975,113.813,113.813,648.143,288,611.424,1.654,0.998,8.872,1.022,17.472,0.346,0.95,0.99
5.14,15,21639.049,1924.339,8508.51,175.304,175.304,716.754,288,642.905,2.074,0.998,11.026,1.026,25.532,0.505,0.95,0.99
6.175,18,29797.33,2307.255,8843.898,246.366,246.366,783.758,288,673.058,2.496,0.998,13.15,1.03,34.673,0.687,0.95,0.99
7.148,21,38976.329,2678.077,9139.976,332.101,332.101,839.27,288,697.378,2.954,0.998,15.423,1.035,44.667,0.884,0.95,0.99
8.206,24,50997.156,3087.62,9323.977,438.037,438.037,936.687,288,739.356,3.563,0.998,18.313,1.041,60.996,1.208,0.95,0.99
9.3,27,72774.979,3560.434,9789.971,644.927,644.927,1102.466,288,787.019,4.479,0.998,22.404,1.049,90.975,1.801,0.95,0.99
1.138,3,2639.688,1307.675,6694.715,5.304,5.304,551.016,288,560.64,1.177,0.998,6.346,1.019,32.625,0.204,0.95,0.991
2.088,6,5612.283,1347.886,6851.841,23.027,23.027,593.577,288,573.786,1.283,0.998,6.918,1.019,22.796,0.25,0.95,0.991
3.144,9,8380.894,1386.767,7153.292,60.37,60.37,592.882,288,585.194,1.387,0.998,7.457,1.02,12.544,0.248,0.95,0.991
4.161,12,14725.901,1547.475,7825.024,113.811,113.811,647.273,288,611.265,1.654,0.998,8.863,1.022,17.43,0.345,0.95,0.991
5.14,15,21639.262,1924.341,8509.428,175.306,175.306,715.792,288,642.726,2.074,0.998,11.014,1.026,25.476,0.504,0.95,0.991
6.175,18,29797.514,2307.247,8844.927,246.284,246.284,782.673,288,672.84,2.496,0.998,13.137,1.03,34.602,0.685,0.95,0.991
7.148,21,38976.119,2678.075,9140.483,332.145,332.145,838.254,288,697.211,2.954,0.998,15.406,1.035,44.587,0.883,0.95,0.991
8.206,24,50997.004,3087.62,9324.33,438.074,438.074,935.682,288,739.2,3.562,0.998,18.292,1.041,60.901,1.206,0.95,0.991
9.3,27,72775.879,3560.436,9790.704,645.046,645.046,1101.598,288,786.887,4.478,0.998,22.377,1.049,90.872,1.799,0.95,0.991
1.138,3,1746.991,1310.436,6697.848,5.445,5.445,521.736,288,556.35,1.147,0.998,6.173,1.019,29.309,0.168,0.95,0.992
2.088,6,5259.425,1346.166,6853.352,22.708,22.708,583.693,288,572.257,1.272,0.998,6.849,1.019,23.154,0.239,0.95,0.992
3.144,9,8381.008,1386.767,7155.892,60.375,60.375,592.076,288,585.046,1.387,0.998,7.45,1.02,12.51,0.248,0.95,0.992
4.161,12,14725.856,1547.476,7827.052,113.815,113.815,646.403,288,611.106,1.654,0.998,8.854,1.022,17.388,0.344,0.95,0.992
5.14,15,21639.277,1924.343,8510.342,175.305,175.305,714.831,288,642.546,2.074,0.998,11.003,1.026,25.421,0.503,0.95,0.992
6.175,18,29797.827,2307.243,8845.964,246.326,246.326,781.591,288,672.623,2.495,0.998,13.123,1.03,34.532,0.684,0.95,0.992
7.148,21,38975.735,2678.076,9140.988,332.111,332.111,837.239,288,697.044,2.953,0.998,15.389,1.035,44.508,0.881,0.95,0.992
8.206,24,50996.889,3087.618,9324.684,437.976,437.976,934.68,288,739.044,3.561,0.998,18.271,1.041,60.807,1.204,0.95,0.992
9.3,27,72775.917,3560.44,9791.421,644.946,644.946,1100.727,288,786.755,4.477,0.998,22.35,1.049,90.768,1.797,0.95,0.992
1.138,3,530.989,1324.357,6707.512,6.181,6.181,473.949,288,549.713,1.103,0.998,5.916,1.019,19.388,0.108,0.95,0.993
2.088,6,5302.58,1346.313,6856.03,22.737,22.737,583.962,288,572.237,1.273,0.998,6.848,1.019,22.888,0.239,0.95,0.993
3.144,9,8381.135,1386.768,7158.493,60.377,60.377,591.272,288,584.898,1.387,0.998,7.443,1.02,12.477,0.247,0.95,0.993
4.161,12,14725.965,1547.477,7829.095,113.81,113.81,645.537,288,610.947,1.654,0.998,8.845,1.022,17.346,0.343,0.95,0.993
5.14,15,21639.548,1924.345,8511.262,175.328,175.328,713.874,288,642.368,2.073,0.998,10.992,1.026,25.366,0.502,0.95,0.993
6.175,18,29797.93,2307.233,8846.989,246.295,246.295,780.513,288,672.406,2.495,0.998,13.11,1.03,34.461,0.682,0.95,0.993
7.148,21,38975.494,2678.075,9141.495,332.06,332.06,836.228,288,696.877,2.952,0.998,15.372,1.035,44.428,0.88,0.95,0.993
8.206,24,50996.781,3087.615,9325.036,437.981,437.981,933.68,288,738.889,3.56,0.998,18.25,1.041,60.713,1.202,0.95,0.993
9.3,27,72776.92,3560.436,9792.146,644.936,644.936,1099.863,288,786.625,4.476,0.998,22.323,1.049,90.666,1.795,0.95,0.993
1.138,3,305.706,1332.396,6714.84,6.616,6.616,460.882,288,547.941,1.094,0.998,5.85,1.019,14.834,0.089,0.95,0.994
2.088,6,5179.159,1345.805,6858.196,22.643,22.643,579.983,288,571.677,1.269,0.998,6.824,1.019,23.23,0.235,0.95,0.994
3.144,9,8381.186,1386.769,7161.089,60.378,60.378,590.47,288,584.749,1.387,0.998,7.436,1.02,12.444,0.246,0.95,0.994
4.161,12,14726.047,1547.477,7831.137,113.812,113.812,644.672,288,610.788,1.654,0.998,8.836,1.022,17.305,0.343,0.95,0.994
5.14,15,21639.721,1924.347,8512.18,175.31,175.31,712.918,288,642.19,2.073,0.998,10.981,1.026,25.311,0.501,0.95,0.994
6.175,18,29798.176,2307.229,8848.022,246.297,246.297,779.437,288,672.19,2.495,0.998,13.096,1.03,34.391,0.681,0.95,0.994
7.148,21,38975.179,2678.075,9142,332.094,332.094,835.219,288,696.711,2.952,0.998,15.356,1.035,44.349,0.878,0.95,0.994
8.206,24,50996.595,3087.612,9325.39,438.082,438.082,932.683,288,738.735,3.559,0.998,18.23,1.041,60.619,1.2,0.95,0.994
9.3,27,72777.297,3560.443,9792.862,645.143,645.143,1098.999,288,786.495,4.474,0.998,22.297,1.049,90.563,1.793,0.95,0.994
1.138,3,314.48,1349.466,6728.353,7.553,7.553,451.45,288,547.742,1.096,0.998,5.843,1.019,4.567,0.071,0.95,0.995
2.088,6,5228.006,1345.969,6860.889,22.671,22.671,580.5,288,571.714,1.27,0.998,6.825,1.019,23.174,0.236,0.95,0.995
3.144,9,8381.319,1386.769,7163.691,60.387,60.387,589.669,288,584.601,1.387,0.998,7.429,1.02,12.41,0.246,0.95,0.995
4.161,12,14726.15,1547.478,7833.182,113.817,113.817,643.809,288,610.63,1.653,0.998,8.827,1.022,17.263,0.342,0.95,0.995
5.14,15,21639.876,1924.349,8513.098,175.327,175.327,711.965,288,642.012,2.073,0.998,10.97,1.026,25.256,0.5,0.95,0.995
6.175,18,29798.329,2307.223,8849.051,246.38,246.38,778.365,288,671.975,2.494,0.998,13.083,1.03,34.321,0.68,0.95,0.995
7.148,21,38974.892,2678.075,9142.505,332.105,332.105,834.213,288,696.546,2.951,0.998,15.339,1.035,44.27,0.877,0.95,0.995
8.206,24,50995.647,3087.591,9325.777,438.073,438.073,931.663,288,738.583,3.558,0.998,18.209,1.041,60.524,1.198,0.95,0.995
9.3,27,72778.944,3560.457,9793.593,644.866,644.866,1098.146,288,786.367,4.473,0.998,22.27,1.049,90.461,1.791,0.95,0.995
1.138,3,497.385,1359.362,6737.583,8.111,8.111,454.607,288,548.751,1.104,0.998,5.882,1.019,0,0.072,0.95,0.996
2.088,6,4826.301,1344.737,6862.678,22.448,22.448,569.036,288,569.889,1.258,0.998,6.745,1.019,23.176,0.222,0.95,0.996
3.144,9,8381.37,1386.77,7166.289,60.382,60.382,588.87,288,584.453,1.386,0.998,7.422,1.02,12.377,0.245,0.95,0.996
4.161,12,14726.291,1547.478,7835.232,113.821,113.821,642.949,288,610.472,1.653,0.998,8.819,1.022,17.222,0.341,0.95,0.996
5.14,15,21640.062,1924.35,8514.017,175.312,175.312,711.015,288,641.834,2.072,0.998,10.959,1.026,25.202,0.499,0.95,0.996
6.175,18,29798.462,2307.218,8850.081,246.328,246.328,777.295,288,671.76,2.494,0.998,13.069,1.03,34.251,0.678,0.95,0.996
7.148,21,38974.631,2678.075,9143.01,332.11,332.11,833.209,288,696.381,2.951,0.998,15.323,1.035,44.191,0.875,0.95,0.996
