1,2,3,4,5,6,7,8,9,10,11
1,0,1,-1,-1,-1,-1,1,0,-1,6.37878
1,1,-1,1,1,0,-1,0,1,0,4.97714
-1,-1,0,1,1,-1,1,0,-1,1,-2.58257
1,1,0,0,0,1,-1,1,-1,-1,6.5991800000000005
-1,-1,-1,0,1,-1,1,0,1,1,-1.01358
-1,1,0,-1,0,0,0,0,-1,1,-4.3193
1,0,1,-1,1,1,-1,1,-1,1,4.93976
1,1,-1,-1,-1,0,0,1,1,-1,2.8231900000000003
1,-1,1,1,1,-1,1,0,-1,0,4.38063
1,1,1,-1,0,0,1,-1,0,0,7.70222
-1,-1,0,-1,0,0,0,1,-1,1,-3.20915
1,0,0,-1,0,0,-1,1,0,-1,3.22402
-1,0,1,1,0,0,1,0,1,0,-2.12961
-1,1,1,0,-1,-1,-1,0,-1,0,-8.57297
1,1,-1,1,-1,-1,1,-1,0,0,5.56071
-1,-1,-1,0,0,1,0,-1,1,0,-1.67572
1,-1,0,0,-1,-1,1,-1,-1,1,0.7590359999999999
-1,-1,-1,-1,0,-1,1,-1,1,-1,-4.38226
1,0,1,1,0,0,1,1,-1,0,5.91204
1,0,-1,1,0,1,-1,-1,-1,1,2.38271
1,-1,-1,0,1,-1,-1,1,1,0,-2.33283
1,0,0,1,1,1,1,1,-1,1,2.6720200000000003
1,0,0,0,-1,-1,1,-1,0,-1,3.4411199999999997
-1,0,0,-1,-1,1,0,0,0,-1,-3.20895
-1,1,-1,1,1,1,1,-1,1,0,4.06674
1,-1,1,0,0,1,0,0,1,0,2.74746
-1,-1,1,-1,0,0,-1,0,0,-1,-6.172000000000001
-1,1,0,0,1,-1,0,1,-1,0,-1.054
-1,1,0,1,1,1,-1,0,-1,1,1.15739
1,1,1,-1,0,-1,-1,1,1,1,6.86733
1,-1,1,-1,-1,0,-1,-1,-1,0,1.04862
-1,0,1,0,-1,1,0,1,0,0,-3.4371099999999997
-1,0,0,-1,0,1,1,1,-1,1,0.343962
1,0,0,0,0,0,-1,0,-1,0,2.97456
1,1,-1,0,-1,0,1,0,1,0,4.01309
1,-1,1,1,0,0,-1,0,1,0,2.01773
1,0,-1,1,1,1,0,1,1,0,2.67303
-1,0,-1,-1,-1,0,-1,0,0,-1,-8.55797
-1,1,0,1,1,0,-1,0,-1,-1,-1.61399
1,1,-1,1,-1,1,1,-1,1,0,4.88575
-1,1,1,-1,-1,0,-1,1,1,0,-6.878439999999999
-1,0,1,0,-1,1,0,1,0,0,-4.09556
-1,0,0,0,1,0,-1,-1,-1,-1,-2.0903400000000003
1,1,1,0,0,-1,0,0,0,-1,5.90581
1,-1,-1,1,-1,-1,1,-1,-1,1,-2.0277
1,0,0,-1,1,-1,1,1,1,1,3.04861
-1,0,0,-1,0,-1,1,-1,1,-1,-6.198980000000001
1,-1,-1,0,-1,1,-1,0,1,0,-2.78926
-1,0,0,1,0,-1,-1,0,0,0,-6.13385
1,1,-1,1,0,0,0,0,-1,-1,5.680619999999999
-1,1,1,1,-1,-1,0,-1,1,0,-6.867960000000001
-1,0,1,0,0,-1,1,-1,1,1,-6.21935
1,1,1,0,0,1,-1,0,-1,1,8.361839999999999
1,-1,0,-1,-1,0,-1,0,-1,-1,-0.25161
1,0,0,0,-1,-1,1,0,-1,1,2.6337599999999997
1,1,0,0,-1,1,1,0,0,0,4.69353
1,1,-1,1,0,-1,1,1,1,-1,6.41255
1,-1,1,0,-1,-1,0,1,1,1,1.5276299999999998
1,0,1,1,-1,0,1,1,0,1,6.7762
-1,1,1,1,1,-1,1,1,-1,0,-1.90956
-1,1,-1,1,1,-1,0,1,1,1,-0.08626289999999999
1,-1,-1,-1,1,0,0,-1,1,1,-3.6853
1,0,-1,0,-1,1,0,1,1,-1,1.44824
1,-1,1,-1,-1,0,0,0,1,1,1.9304599999999998
1,1,1,1,-1,1,0,1,0,1,9.05377
1,1,1,-1,0,1,1,0,-1,1,5.17767
1,-1,-1,-1,-1,1,1,0,1,0,-1.52014
-1,0,-1,1,-1,0,0,-1,-1,1,-8.15439
1,0,-1,1,0,1,1,-1,0,-1,2.33174
1,0,-1,1,1,0,-1,1,1,-1,1.8191099999999998
1,0,1,1,1,-1,0,0,0,-1,5.2573
-1,-1,-1,0,1,0,-1,1,0,-1,-0.721893
1,-1,1,1,-1,-1,-1,0,-1,0,2.71944
1,-1,0,0,-1,-1,0,-1,0,0,-0.025317
-1,0,-1,-1,1,1,1,0,0,1,2.00267
-1,1,1,-1,0,0,1,1,0,1,-0.847074
1,1,1,1,1,-1,-1,-1,1,-1,8.49751
1,0,-1,1,-1,1,0,-1,-1,0,1.81233
1,0,0,1,0,1,-1,1,-1,0,4.70406
-1,0,1,-1,0,-1,-1,0,0,-1,-6.6644
-1,0,1,1,0,-1,1,-1,1,-1,-4.88206
-1,0,1,0,0,-1,1,0,-1,1,-4.98856
1,1,-1,0,0,0,-1,0,0,1,4.3535900000000005
-1,-1,-1,1,1,1,1,1,0,0,3.9405900000000003
1,-1,-1,1,-1,0,0,-1,-1,1,-0.987348
1,1,-1,0,0,1,1,-1,1,0,2.7929
-1,1,1,-1,-1,-1,1,-1,-1,-1,-6.94123
-1,-1,-1,0,1,-1,1,-1,1,0,-1.9026
1,1,1,0,1,1,0,-1,-1,0,8.351519999999999
1,-1,0,1,1,0,0,-1,1,0,-0.165248
1,-1,0,1,-1,-1,1,0,0,0,1.3383200000000002
-1,-1,0,1,-1,0,0,-1,-1,0,-7.008660000000001
-1,1,-1,1,1,-1,0,-1,1,1,-1.72459
-1,0,0,1,-1,-1,-1,-1,0,1,-9.5244
1,1,1,-1,1,1,-1,0,0,0,5.18438
1,0,0,1,1,0,-1,1,0,1,3.9425
-1,1,1,0,0,0,0,-1,0,0,-3.51635
-1,-1,0,1,1,0,0,1,1,1,-1.20916
1,1,1,1,-1,1,-1,1,0,-1,8.07146
-1,1,-1,-1,1,1,0,1,1,-1,1.66661
-1,0,0,1,1,-1,0,-1,0,0,-4.38471
1,0,1,0,-1,1,0,1,1,1,5.22635
-1,1,1,0,0,0,1,0,1,-1,-0.62135
1,-1,0,0,-1,1,1,0,1,1,-0.9510549999999999
-1,1,1,-1,0,-1,1,-1,-1,0,-4.97093
-1,1,0,-1,1,-1,0,1,1,0,-1.40248
-1,-1,-1,0,1,1,-1,0,1,-1,0.562377
1,1,1,1,-1,0,0,1,0,-1,7.640110000000001
1,1,-1,1,1,1,1,-1,1,0,6.21748
-1,-1,-1,0,-1,-1,-1,-1,-1,1,-8.7158
-1,0,0,-1,0,0,-1,1,0,0,-4.33076
1,1,-1,1,1,-1,-1,0,1,-1,5.452030000000001
-1,1,-1,-1,0,-1,0,-1,-1,0,-4.71631
1,-1,0,-1,1,1,-1,0,0,1,-0.5895050000000001
1,-1,1,-1,0,0,1,1,-1,0,-0.053614300000000004
1,0,1,0,-1,1,1,0,-1,-1,5.46745
1,1,1,0,-1,0,0,-1,1,0,9.2887
-1,0,1,0,0,1,0,0,1,1,-3.04123
1,-1,1,-1,-1,-1,-1,0,-1,0,1.03827
1,1,0,0,-1,0,-1,0,1,-1,5.7958
-1,-1,-1,-1,-1,0,1,1,-1,1,-4.3506599999999995
1,1,1,1,0,0,0,1,0,1,9.27621
-1,1,1,1,-1,-1,1,-1,-1,0,-7.24757
1,1,-1,0,-1,1,0,-1,0,-1,4.47069
-1,0,1,-1,0,0,0,0,0,1,-2.44893
-1,-1,0,-1,0,1,-1,-1,-1,-1,-0.949601
1,1,1,1,-1,-1,1,1,-1,0,10.0695
-1,0,1,0,0,-1,0,1,0,0,-2.8658
-1,0,0,1,-1,0,-1,-1,1,1,-7.05817
1,0,0,-1,0,1,1,-1,0,0,3.48005
-1,-1,-1,1,0,-1,1,-1,0,-1,-4.41461
-1,-1,-1,-1,-1,-1,0,-1,1,0,-8.39632
1,0,1,1,0,0,0,1,1,-1,5.38055
-1,0,1,-1,1,1,0,0,0,1,1.52577
1,-1,0,-1,0,-1,0,0,-1,-1,-1.27165
-1,-1,0,1,-1,1,0,-1,0,-1,-3.3232699999999995
-1,0,-1,-1,1,0,1,1,0,-1,2.62679
1,-1,-1,0,-1,-1,0,-1,1,-1,-2.025
1,0,1,1,1,0,0,0,1,-1,5.315980000000001
1,1,0,0,0,1,1,0,-1,1,4.2982
-1,-1,1,1,-1,-1,0,-1,0,1,-8.87541
-1,-1,1,1,1,-1,-1,-1,0,0,-4.06913
1,-1,-1,1,0,-1,1,0,0,-1,-2.00215
1,1,0,1,1,-1,1,-1,0,1,6.846710000000001
-1,0,1,-1,0,0,0,-1,0,1,-1.9847700000000001
1,-1,-1,-1,1,1,0,-1,-1,0,-2.64053
-1,1,0,1,1,0,-1,0,-1,1,-1.21482
1,1,0,-1,1,0,1,1,1,-1,5.09047
-1,1,-1,0,1,0,1,-1,0,-1,1.03073
1,0,0,0,0,1,0,1,-1,0,4.38398
1,1,-1,-1,1,1,-1,1,0,1,4.911969999999999
-1,0,1,0,0,-1,1,0,0,0,-3.90838
-1,1,-1,1,1,1,-1,0,1,1,2.4384200000000003
-1,0,-1,0,0,1,0,0,0,0,-0.959924
-1,0,1,-1,-1,1,0,0,0,-1,-4.19747
1,-1,0,1,-1,1,-1,0,1,1,-0.096318
1,0,-1,-1,-1,1,1,-1,0,0,1.54285
1,1,1,-1,1,0,-1,-1,-1,1,5.18264
-1,1,-1,1,0,-1,-1,-1,0,1,-6.78804
-1,0,-1,0,1,1,1,-1,0,-1,1.2598799999999999
1,1,1,1,-1,0,-1,1,0,-1,8.05832
-1,-1,-1,0,1,0,0,0,0,0,-0.9114639999999999
1,0,0,-1,0,0,1,1,0,-1,2.48713
-1,1,1,1,-1,0,1,0,0,0,-5.3730400000000005
1,-1,1,-1,1,1,0,0,0,1,1.7160099999999998
1,0,0,1,0,-1,-1,0,-1,-1,2.89689
1,-1,1,0,-1,-1,0,-1,0,-1,3.84766
-1,0,-1,-1,-1,-1,1,-1,-1,-1,-5.9525
-1,-1,0,0,0,-1,0,-1,1,-1,-5.556719999999999
-1,1,0,0,-1,-1,1,0,0,1,-8.425989999999999
-1,1,0,-1,1,-1,1,0,-1,-1,-1.36182
1,0,-1,0,-1,-1,-1,-1,-1,0,1.72124
-1,1,0,1,0,0,1,1,-1,0,-2.32405
1,1,0,-1,1,-1,1,0,0,1,4.71394
-1,0,-1,0,0,1,1,-1,-1,-1,1.17769
1,0,0,1,1,-1,-1,1,1,1,4.939019999999999
1,0,1,1,-1,0,1,0,1,1,4.9026
-1,1,-1,0,1,0,1,1,0,1,1.0568600000000001
-1,1,1,-1,-1,1,-1,1,0,1,-5.5216199999999995
-1,-1,1,-1,-1,-1,-1,1,0,0,-9.834010000000001
1,1,1,1,1,-1,-1,1,0,1,8.7449
1,1,0,1,-1,1,0,1,0,0,5.39951
1,0,1,0,0,1,-1,-1,1,0,6.9708
-1,0,0,0,1,0,0,-1,0,0,-0.19483599999999998
-1,1,-1,1,1,0,-1,-1,1,-1,-1.33083
1,-1,-1,1,1,-1,-1,1,1,1,-1.21577
1,0,1,0,1,-1,0,0,-1,0,5.98934
-1,0,1,-1,1,-1,0,0,0,1,-1.13943
-1,-1,1,1,1,1,0,1,0,1,0.6541020000000001
-1,-1,0,1,0,-1,1,1,0,0,-4.83367
-1,0,-1,0,1,0,0,1,0,0,-0.10518399999999999
-1,-1,1,-1,0,1,1,1,1,1,0.398818
1,-1,1,-1,0,1,1,0,0,1,1.30168
1,0,0,-1,1,1,1,1,-1,0,1.00989
1,0,-1,1,0,-1,1,1,1,1,1.9794599999999998
-1,0,-1,-1,0,0,-1,0,0,1,-3.9104900000000002
1,1,-1,-1,1,1,0,-1,-1,0,4.48244
-1,1,1,1,-1,1,-1,1,1,0,-4.53311
1,0,1,0,-1,1,-1,1,0,0,5.72588
-1,-1,0,0,0,1,1,1,-1,0,-0.0591134
-1,1,-1,-1,0,1,0,-1,1,0,-1.9051799999999999
-1,-1,1,1,1,1,0,-1,-1,1,2.85875
1,-1,0,-1,1,0,0,1,-1,1,-1.78467
-1,1,0,-1,1,1,0,0,-1,0,1.9941799999999998
-1,-1,-1,-1,-1,0,0,0,1,1,-6.49081
1,1,-1,1,0,1,-1,1,-1,1,3.80306
-1,-1,0,-1,-1,-1,-1,1,-1,-1,-7.437410000000001
-1,1,-1,1,-1,1,-1,-1,0,1,-4.73413
-1,-1,0,0,-1,0,-1,1,0,-1,-7.235289999999999
1,0,0,1,-1,0,-1,1,1,1,4.89243
1,-1,1,0,1,-1,1,0,-1,1,0.294784
-1,1,0,-1,0,0,-1,-1,-1,0,-4.4756800000000005
-1,-1,1,-1,1,0,1,-1,-1,-1,1.7615
1,0,0,-1,0,-1,1,1,-1,1,3.8654599999999997
-1,0,0,0,1,1,-1,1,1,0,0.44937200000000005
-1,-1,1,0,0,1,1,-1,1,0,0.49382600000000004
1,1,1,-1,0,0,-1,0,0,0,6.099559999999999
1,0,1,-1,-1,1,0,1,-1,-1,5.27056
1,0,1,0,0,-1,-1,1,-1,1,4.61583
-1,-1,0,0,-1,1,1,-1,-1,1,-1.6278
-1,1,1,-1,-1,0,0,0,-1,0,-5.029730000000001
1,0,-1,1,-1,-1,0,0,-1,-1,0.649944
1,-1,-1,1,1,-1,0,-1,-1,0,-1.3912799999999999
-1,-1,1,-1,-1,0,-1,1,1,-1,-5.64628
1,-1,-1,-1,0,-1,0,-1,1,-1,-3.3903300000000005
-1,-1,1,-1,-1,1,-1,0,0,0,-5.78141
-1,0,1,-1,0,1,1,0,1,-1,1.45193
1,-1,1,0,1,1,0,0,0,1,2.20007
-1,1,0,-1,1,-1,1,0,1,0,-1.01145
1,0,-1,1,-1,-1,-1,-1,-1,-1,2.53927
1,-1,-1,1,-1,1,0,0,0,1,-0.799737
1,0,-1,1,0,0,-1,-1,1,-1,0.539194
1,1,1,0,0,-1,0,0,1,-1,9.16474
-1,0,0,-1,1,-1,1,-1,1,1,-2.14359
-1,0,-1,1,0,-1,-1,1,-1,-1,-6.49299
1,-1,1,-1,0,0,0,0,0,-1,0.888918
-1,-1,-1,1,0,1,1,0,-1,1,1.36301
-1,1,1,1,-1,1,0,0,1,-1,-4.8129599999999995
1,1,0,-1,1,1,1,0,1,-1,4.7312199999999995
-1,-1,0,-1,0,0,-1,0,1,1,-5.81381
1,0,0,1,1,0,-1,-1,-1,0,2.4952099999999997
1,0,1,1,0,0,1,0,-1,1,5.81625
1,-1,0,1,-1,1,0,-1,-1,-1,2.38036
1,1,-1,-1,0,-1,-1,-1,-1,0,3.45643
1,1,-1,0,1,0,1,-1,1,1,2.91945
-1,0,1,-1,1,1,1,0,1,1,4.85993
1,0,-1,0,-1,-1,0,-1,1,-1,1.11802
-1,1,-1,-1,-1,1,1,0,1,0,-2.00201
-1,0,1,1,1,-1,0,1,0,-1,-1.21696
-1,-1,0,0,1,1,0,1,-1,1,2.68641
-1,-1,0,0,0,0,0,1,0,0,-2.42505
1,1,1,1,0,0,1,-1,1,1,9.22418
-1,0,1,-1,0,1,0,0,1,1,-2.78162
-1,1,0,0,1,0,1,-1,-1,1,1.44712
-1,0,-1,0,1,1,0,-1,1,0,1.9044400000000001
-1,0,1,1,1,1,0,-1,1,-1,2.76879
1,1,0,-1,0,-1,-1,-1,0,-1,5.784269999999999
1,0,1,1,-1,0,0,1,1,-1,7.9854199999999995
1,0,0,0,0,0,-1,1,0,0,2.4701400000000002
1,1,-1,-1,0,-1,0,-1,-1,1,2.6912599999999998
-1,-1,1,0,-1,0,1,1,0,0,-5.51243
-1,0,1,-1,-1,0,1,-1,-1,0,-7.0721
1,1,0,0,1,-1,1,-1,-1,0,6.3941099999999995
-1,-1,-1,1,1,-1,1,0,-1,-1,-2.69015
-1,-1,1,0,1,-1,1,1,1,1,0.453689
-1,-1,0,1,-1,1,-1,-1,-1,1,-5.60496
-1,-1,0,1,-1,-1,-1,-1,-1,1,-5.7114400000000005
1,0,0,1,1,-1,1,0,-1,1,5.73477
-1,-1,-1,0,1,1,-1,1,-1,1,-0.0162776
-1,0,1,1,-1,0,1,0,0,1,-4.371519999999999
1,0,1,-1,-1,0,-1,-1,0,1,3.6049800000000003
1,-1,-1,0,-1,0,0,-1,-1,0,-1.4146299999999998
1,-1,0,-1,-1,0,-1,1,1,1,-1.2205
1,1,0,0,0,0,1,0,-1,0,7.97268
-1,1,-1,1,0,1,0,1,0,-1,-0.19738
1,1,0,1,0,1,1,0,1,0,8.41441
1,1,0,0,0,1,-1,1,-1,-1,5.96205
1,1,1,0,-1,1,0,0,-1,1,7.5697600000000005
1,1,0,0,-1,1,0,-1,-1,-1,7.551839999999999
-1,0,0,0,-1,1,1,0,-1,-1,-3.12174
1,1,0,-1,1,-1,1,1,1,0,3.45439
1,1,1,0,-1,-1,1,1,-1,0,8.70106
-1,-1,1,0,-1,1,0,-1,1,-1,-3.5735900000000003
1,-1,-1,-1,-1,-1,1,1,1,-1,-2.65063
1,1,-1,0,-1,-1,0,1,-1,-1,5.11739
-1,-1,1,-1,0,-1,-1,-1,1,-1,-6.15206
-1,-1,1,0,-1,-1,0,1,1,-1,-7.66679
-1,-1,-1,1,0,0,-1,-1,1,0,-4.7498
1,0,0,1,0,-1,-1,-1,0,1,3.50806
1,1,1,1,0,-1,1,1,0,-1,7.8672
-1,1,0,0,0,0,-1,1,-1,-1,-5.4949
-1,-1,1,1,-1,1,0,-1,-1,0,-5.34656
-1,1,0,0,-1,-1,1,-1,0,0,-5.49241
1,0,0,0,0,-1,1,0,1,0,1.05336
-1,-1,-1,-1,1,1,1,1,1,-1,2.8639799999999997
-1,0,0,1,-1,0,1,1,0,1,-5.41086
1,-1,0,1,1,-1,0,-1,1,0,-0.507256
-1,1,-1,-1,-1,-1,-1,0,0,0,-8.45096
1,0,0,1,-1,-1,1,1,-1,-1,3.46319
-1,0,-1,0,-1,-1,1,1,1,-1,-7.736610000000001
-1,0,-1,1,1,1,-1,0,0,0,1.92485
1,0,0,0,0,-1,0,1,1,-1,2.5996099999999998
1,1,-1,0,0,-1,0,0,-1,1,5.36311
-1,-1,1,-1,1,-1,1,0,-1,-1,0.23669099999999998
1,0,0,1,0,0,-1,-1,-1,0,3.11727
1,1,-1,0,0,-1,0,0,1,0,4.27643
-1,0,-1,-1,-1,0,0,-1,0,1,-6.47987
1,1,1,0,-1,-1,0,1,0,-1,8.76905
-1,0,1,1,1,-1,-1,0,1,-1,-3.46472
-1,0,-1,-1,1,-1,0,1,1,0,-1.58921
1,0,-1,-1,0,1,-1,1,1,0,0.7816890000000001
-1,1,-1,-1,0,-1,0,-1,1,-1,-4.66324
-1,-1,-1,1,0,0,1,1,1,-1,-1.17411
1,-1,0,0,-1,0,0,1,0,-1,-0.161128
1,-1,1,-1,-1,1,-1,-1,1,-1,-0.09646469999999999
1,1,1,1,1,1,1,0,0,0,7.87308
1,0,-1,1,1,1,-1,1,0,-1,1.3417700000000001
-1,0,1,1,0,-1,0,-1,-1,-1,-5.47835
-1,0,-1,0,1,-1,-1,1,-1,1,-3.68295
1,-1,1,-1,1,-1,1,0,-1,1,-0.42435500000000004
-1,0,1,1,-1,-1,1,-1,1,-1,-5.6540300000000006
1,-1,1,1,-1,-1,0,-1,-1,0,2.0413200000000002
1,-1,-1,-1,1,-1,-1,1,0,-1,-4.29559
1,1,-1,1,0,0,-1,1,1,-1,4.67446
-1,0,1,0,0,-1,-1,-1,-1,1,-6.17237
-1,-1,0,0,-1,0,0,-1,1,-1,-6.58621
-1,1,1,1,1,1,0,1,0,-1,1.3668799999999999
1,0,-1,0,1,-1,0,1,0,-1,1.13689
-1,0,1,1,-1,1,-1,-1,-1,-1,-4.48146
-1,0,-1,0,1,0,0,0,0,0,-0.71992
-1,-1,1,-1,0,1,-1,1,0,0,-1.5530899999999999
1,0,-1,1,-1,-1,1,1,-1,-1,3.1773
1,-1,1,1,0,1,-1,-1,0,0,2.69374
1,0,1,1,-1,-1,1,0,1,0,4.94309
-1,1,0,1,-1,0,0,-1,0,-1,-5.14438
-1,1,-1,0,1,1,-1,1,-1,1,2.11643
1,-1,-1,1,1,-1,0,1,-1,1,-0.228758
1,-1,0,1,1,1,-1,-1,1,-1,0.592259
1,1,-1,1,1,0,0,0,-1,1,3.8286
-1,0,1,0,1,1,0,0,0,0,2.11737
1,-1,1,0,0,0,0,1,1,1,3.9398800000000005
-1,-1,1,-1,1,-1,1,0,1,1,-2.2462299999999997
1,1,1,0,-1,0,-1,0,0,-1,6.5688
1,-1,0,1,-1,-1,1,-1,0,1,1.4405700000000001
-1,-1,0,-1,1,0,-1,0,-1,0,-1.06184
-1,0,-1,1,0,1,1,1,1,1,-0.770696
1,-1,0,-1,-1,-1,1,0,-1,0,-0.882748
1,0,-1,0,1,0,0,-1,0,0,0.428252
-1,0,-1,-1,0,0,0,-1,1,1,-3.20852
-1,1,1,-1,1,0,0,1,-1,1,-0.317739
-1,1,1,1,-1,-1,1,0,0,0,-7.2237100000000005
1,-1,0,-1,-1,1,-1,0,-1,1,-1.6895200000000001
-1,-1,0,1,0,-1,1,1,-1,0,-4.64959
-1,1,-1,-1,0,-1,-1,-1,1,1,-4.93271
-1,1,-1,1,-1,-1,1,-1,-1,1,-7.8238199999999996
1,-1,-1,-1,0,-1,-1,1,-1,-1,-4.14933
-1,-1,1,-1,-1,0,0,-1,0,1,-5.02861
-1,1,-1,0,-1,1,0,-1,0,0,-4.154669999999999
1,1,1,0,0,-1,0,0,0,0,8.94905
1,0,-1,-1,1,1,0,0,-1,-1,-1.28735
1,0,1,1,-1,0,0,0,-1,0,5.3703
-1,-1,-1,1,1,0,-1,-1,1,-1,-0.6863640000000001
1,1,1,0,0,0,0,-1,-1,1,8.71631
1,-1,0,1,0,0,1,0,1,1,-0.462747
-1,0,0,0,-1,-1,-1,0,-1,1,-9.032680000000001
1,-1,-1,0,0,1,-1,1,1,1,-3.50196
-1,0,-1,1,-1,0,1,1,0,-1,-6.76266
1,-1,-1,-1,-1,1,1,-1,1,-1,-2.98697
1,1,0,1,1,-1,-1,-1,0,1,6.7005300000000005
1,-1,1,1,0,1,-1,-1,0,-1,1.37111
1,1,-1,-1,-1,1,0,0,1,1,3.21
1,-1,0,0,1,-1,1,-1,-1,0,-1.49173
1,0,-1,1,1,1,0,0,-1,0,0.7438140000000001
1,1,-1,0,1,-1,-1,1,0,-1,4.82199
1,0,-1,-1,-1,1,-1,-1,0,1,0.0315945
