Date,Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Price
23/09/2017,Ormond,4,h,VB,Woodards,11.4,3204,4,2,2,590,178,1940,,-37.90433,145.05163,Southern Metropolitan,3578,1450000
23/09/2017,Plumpton,4,h,SP,HAR,23.8,3335,4,2,2,477,178,2012,,-37.71429,144.72492,Western Metropolitan,1490,625500
23/09/2017,Port Melbourne,3,h,PI,Marshall,3.5,3207,3,1,2,293,151,1890,,-37.83452,144.93586,Southern Metropolitan,8648,1725000
23/09/2017,Port Melbourne,3,h,PI,Marshall,3.5,3207,3,1,,112,,,,-37.83526,144.94423,Southern Metropolitan,8648,1635000
23/09/2017,Prahran,3,t,S,Jellis,4.6,3181,3,2,2,15,147,1998,,-37.84969,145.00057,Southern Metropolitan,7717,1463000
23/09/2017,Preston,3,h,S,McGrath,8.4,3072,3,1,2,493,,,,-37.74305,145.01812,Northern Metropolitan,14577,820000
23/09/2017,Preston,4,h,S,McGrath,8.4,3072,4,1,2,678,,,,-37.74283,145.0086,Northern Metropolitan,14577,950000
23/09/2017,Preston,3,h,SP,RW,8.4,3072,3,1,2,830,,,,-37.74103,145.02289,Northern Metropolitan,14577,1150000
23/09/2017,Reservoir,3,h,S,Barry,12,3073,3,1,2,695,,,,-37.69618,145.01289,Northern Metropolitan,21650,901000
23/09/2017,Reservoir,3,h,PI,Barry,12,3073,3,1,2,725,,,,-37.7183,145.02253,Northern Metropolitan,21650,890000
23/09/2017,Reservoir,3,h,S,HAR,12,3073,3,1,1,633,,,,-37.71922,145.01806,Northern Metropolitan,21650,800000
23/09/2017,Reservoir,3,h,PI,hockingstuart,12,3073,3,1,2,464,,,,-37.72318,145.01556,Northern Metropolitan,21650,855000
23/09/2017,Reservoir,3,h,VB,Nelson,12,3073,3,1,1,237,,,,-37.7104,145.00717,Northern Metropolitan,21650,680000
23/09/2017,Reservoir,4,h,S,Nelson,12,3073,4,2,3,650,,,,-37.71556,145.01129,Northern Metropolitan,21650,1190000
23/09/2017,Reservoir,4,h,S,Nelson,12,3073,4,2,2,534,,,,-37.69583,144.98056,Northern Metropolitan,21650,785000
23/09/2017,Reservoir,3,h,S,Raine,12,3073,3,1,6,667,115,1920,,-37.72765,144.98953,Northern Metropolitan,21650,1400000
23/09/2017,Reservoir,5,h,VB,Ray,12,3073,5,2,6,892,361,2004,,-37.70176,145.0118,Northern Metropolitan,21650,1000000
