age,workclass,education_num,marital_status,occupation,relationship,race,gender,hours_per_week,native_country,capital,income_status
31,Local-gov,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,0,<=50K
18,Private,9,Never-married,Sales,Not-in-family,White,Male,30,United-States,0,<=50K
52,Private,13,Married-civ-spouse,Other-service,Husband,White,Male,40,Other,0,<=50K
46,Private,9,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,0,<=50K
59,Private,9,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,0,<=50K
44,Private,9,Divorced,Craft-repair,Not-in-family,White,Female,40,United-States,14344,>50K
53,Private,9,Divorced,Sales,Own-child,White,Female,35,United-States,0,<=50K
49,Local-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,0,>50K
33,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,0,<=50K
30,Private,5,Never-married,Sales,Not-in-family,White,Male,40,United-States,0,<=50K
43,Federal-gov,16,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,0,>50K
57,Private,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0,<=50K
37,Private,10,Divorced,Craft-repair,Unmarried,White,Female,40,United-States,0,<=50K
28,Private,10,Divorced,Machine-op-inspct,Unmarried,Other,Female,25,United-States,0,<=50K
34,Local-gov,13,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,0,>50K
29,Local-gov,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,50,United-States,0,<=50K
48,Self-emp-not-inc,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,-1902,>50K
37,Private,10,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,0,>50K
48,Private,12,Divorced,Exec-managerial,Unmarried,White,Female,40,Other,0,<=50K
32,Federal-gov,9,Never-married,Other-service,Own-child,Other,Male,40,United-States,0,<=50K
76,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0,>50K
44,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,15024,>50K
47,Self-emp-not-inc,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,0,<=50K
20,Private,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,0,<=50K
29,Private,9,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,0,<=50K
32,Self-emp-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,7688,>50K
30,Private,7,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,0,<=50K
31,Local-gov,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0,<=50K
42,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,0,<=50K
24,Private,13,Never-married,Sales,Other-relative,White,Male,40,United-States,0,<=50K
38,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0,>50K
56,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Husband,White,Male,50,Other,-1887,>50K
28,Private,10,Married-civ-spouse,Sales,Wife,White,Female,25,United-States,4064,<=50K
36,Private,9,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,0,<=50K
53,Private,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,50,United-States,0,<=50K
56,Self-emp-inc,10,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0,<=50K
49,Local-gov,11,Married-civ-spouse,Craft-repair,Husband,Other,Male,40,United-States,0,>50K
55,Private,10,Married-civ-spouse,Sales,Husband,White,Male,56,United-States,0,<=50K
22,Private,9,Never-married,Craft-repair,Not-in-family,White,Male,41,United-States,0,<=50K
21,Private,10,Never-married,Other-service,Own-child,White,Female,40,United-States,0,<=50K
40,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,0,<=50K
30,Private,13,Never-married,Exec-managerial,Own-child,Other,Male,40,Other,0,<=50K
29,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,0,>50K
19,Private,10,Never-married,Other-service,Own-child,Other,Male,35,United-States,0,<=50K
47,Private,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,0,>50K
20,Private,10,Never-married,Adm-clerical,Own-child,White,Female,28,United-States,-1719,<=50K
31,Private,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,0,>50K
39,Private,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0,<=50K
28,Private,12,Never-married,Sales,Not-in-family,White,Female,60,United-States,0,<=50K
24,Private,9,Never-married,Other-service,Not-in-family,White,Female,40,United-States,-1762,<=50K
38,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,4386,<=50K
37,Private,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,0,<=50K
46,Private,12,Divorced,Tech-support,Not-in-family,Other,Female,36,United-States,0,<=50K
38,Federal-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,Other,0,>50K
43,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,0,<=50K
27,Private,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,0,<=50K
20,Private,10,Never-married,Sales,Own-child,White,Male,20,United-States,0,<=50K
49,Private,10,Married-civ-spouse,Craft-repair,Husband,Other,Male,40,United-States,0,>50K
61,Self-emp-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
27,Private,10,Never-married,Sales,Own-child,White,Female,40,United-States,0,<=50K
19,Private,10,Never-married,Other-service,Own-child,White,Male,30,Other,0,<=50K
45,Private,11,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,-1564,>50K
70,Private,10,Never-married,Tech-support,Other-relative,White,Male,40,United-States,0,<=50K
31,Private,9,Never-married,Transport-moving,Unmarried,Other,Female,30,United-States,0,<=50K
22,Private,10,Married-civ-spouse,Other-service,Husband,White,Male,24,United-States,0,<=50K
36,Private,9,Widowed,Other-service,Unmarried,White,Female,24,United-States,0,<=50K
64,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,-2179,<=50K
47,Local-gov,10,Divorced,Adm-clerical,Unmarried,White,Female,38,Other,0,<=50K
34,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0,<=50K
33,Private,13,Never-married,Exec-managerial,Other-relative,Other,Female,40,Other,0,<=50K
21,Private,9,Never-married,Craft-repair,Own-child,White,Male,35,United-States,0,<=50K
48,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,46,United-States,0,<=50K
23,Private,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,0,<=50K
71,Self-emp-not-inc,10,Separated,Sales,Unmarried,Other,Male,2,United-States,-1816,<=50K
29,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,0,<=50K
42,Private,13,Separated,Other-service,Other-relative,Other,Male,50,United-States,0,<=50K
25,Private,9,Never-married,Other-service,Unmarried,White,Female,40,United-States,0,<=50K
44,Self-emp-inc,14,Divorced,Exec-managerial,Unmarried,Other,Female,40,United-States,0,<=50K
28,Private,9,Never-married,Exec-managerial,Not-in-family,Other,Female,40,Other,0,<=50K
45,Self-emp-not-inc,14,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,0,>50K
36,Private,10,Divorced,Other-service,Unmarried,White,Female,40,Other,0,<=50K
39,Federal-gov,12,Never-married,Exec-managerial,Not-in-family,White,Male,42,United-States,0,<=50K
46,State-gov,14,Widowed,Protective-serv,Unmarried,White,Male,40,United-States,0,<=50K
18,Private,7,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,0,<=50K
66,Local-gov,11,Widowed,Prof-specialty,Not-in-family,White,Female,20,United-States,0,<=50K
27,Private,9,Never-married,Other-service,Not-in-family,White,Male,40,United-States,-1980,<=50K
28,State-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,0,<=50K
51,Private,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,-1977,>50K
27,Private,13,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,0,<=50K
28,State-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0,>50K
27,Private,9,Married-spouse-absent,Sales,Unmarried,White,Female,25,United-States,0,<=50K
21,Private,9,Never-married,Craft-repair,Own-child,Other,Male,40,United-States,0,<=50K
34,Private,9,Never-married,Handlers-cleaners,Not-in-family,Other,Male,40,United-States,0,<=50K
18,Private,9,Never-married,Other-service,Own-child,White,Male,12,United-States,0,<=50K
33,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,65,United-States,0,<=50K
44,Local-gov,10,Married-civ-spouse,Exec-managerial,Husband,Other,Male,38,United-States,0,>50K
43,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0,<=50K
30,Private,10,Never-married,Craft-repair,Not-in-family,Other,Male,45,United-States,0,<=50K
40,Private,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Other,0,>50K
37,Federal-gov,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,42,United-States,0,>50K
34,Private,9,Married-civ-spouse,Adm-clerical,Husband,Other,Male,40,United-States,0,<=50K
41,Self-emp-not-inc,13,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,0,<=50K
31,Private,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,United-States,0,<=50K
58,State-gov,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,1,United-States,0,>50K
38,Private,10,Divorced,Machine-op-inspct,Not-in-family,Other,Female,28,United-States,0,<=50K
24,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0,<=50K
41,Local-gov,13,Married-civ-spouse,Craft-repair,Husband,Other,Male,40,United-States,0,<=50K
47,Private,10,Married-civ-spouse,Tech-support,Husband,White,Male,45,United-States,0,<=50K
41,Federal-gov,13,Married-civ-spouse,Tech-support,Husband,White,Male,24,United-States,0,<=50K
23,Private,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,40,Other,0,<=50K
36,Private,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0,<=50K
40,Federal-gov,14,Never-married,Exec-managerial,Not-in-family,White,Female,55,United-States,14084,>50K
35,Private,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,40,United-States,7298,>50K
24,Self-emp-not-inc,9,Never-married,Sales,Not-in-family,White,Male,40,United-States,0,<=50K
26,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,-1876,<=50K
51,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,0,>50K
42,Local-gov,10,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,-1340,<=50K
37,State-gov,9,Divorced,Adm-clerical,Unmarried,White,Female,35,United-States,0,<=50K
18,Private,7,Never-married,Sales,Own-child,White,Female,40,United-States,0,<=50K
36,Private,13,Married-civ-spouse,Other-service,Husband,Other,Male,36,United-States,7298,>50K
35,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,0,<=50K
58,Self-emp-inc,9,Married-civ-spouse,Sales,Wife,White,Female,35,United-States,15024,>50K
17,Private,7,Never-married,Sales,Own-child,White,Female,12,United-States,0,<=50K
44,Local-gov,9,Married-civ-spouse,Transport-moving,Husband,Other,Male,40,United-States,0,<=50K
37,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,>50K
35,Private,10,Never-married,Sales,Not-in-family,Other,Female,40,United-States,0,<=50K
60,Private,9,Married-civ-spouse,Craft-repair,Husband,Other,Male,40,United-States,0,<=50K
54,Self-emp-inc,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,0,>50K
37,Private,13,Never-married,Exec-managerial,Not-in-family,Other,Male,60,United-States,0,>50K
50,Private,12,Divorced,Sales,Not-in-family,White,Female,40,United-States,0,<=50K
38,Private,13,Married-civ-spouse,Sales,Husband,White,Male,50,Other,0,<=50K
45,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,United-States,0,<=50K
25,Private,6,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,0,<=50K
31,Private,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,0,<=50K
90,Private,9,Never-married,Other-service,Not-in-family,Other,Male,40,United-States,-2206,<=50K
54,Private,9,Married-civ-spouse,Adm-clerical,Husband,Other,Male,20,United-States,0,<=50K
53,Local-gov,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,35,United-States,0,<=50K
18,Private,9,Never-married,Sales,Own-child,White,Female,40,United-States,0,<=50K
66,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,1409,<=50K
75,Private,11,Widowed,Adm-clerical,Not-in-family,White,Female,20,Other,0,<=50K
65,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0,<=50K
35,Private,7,Separated,Transport-moving,Not-in-family,Other,Male,40,United-States,3674,<=50K
41,Private,9,Divorced,Sales,Unmarried,Other,Female,38,United-States,0,<=50K
25,Private,10,Never-married,Adm-clerical,Not-in-family,White,Male,42,United-States,0,<=50K
33,Private,10,Divorced,Craft-repair,Other-relative,Other,Female,40,United-States,0,<=50K
28,Private,15,Never-married,Prof-specialty,Not-in-family,White,Male,55,United-States,0,>50K
59,State-gov,9,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,0,<=50K
40,State-gov,10,Never-married,Adm-clerical,Not-in-family,White,Female,38,United-States,0,<=50K
41,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Other,0,>50K
38,Local-gov,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,United-States,0,>50K
23,Private,9,Never-married,Transport-moving,Own-child,White,Male,40,United-States,0,<=50K
40,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0,>50K
41,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Wife,White,Female,20,United-States,0,<=50K
24,State-gov,12,Married-civ-spouse,Protective-serv,Husband,White,Male,50,United-States,0,<=50K
38,Private,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,-1741,<=50K
58,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,0,>50K
32,Private,9,Never-married,Other-service,Not-in-family,White,Female,34,United-States,0,<=50K
40,Private,12,Married-civ-spouse,Tech-support,Husband,White,Male,60,United-States,-1977,>50K
41,Private,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,0,>50K
42,Private,13,Married-civ-spouse,Adm-clerical,Wife,Other,Female,40,United-States,0,<=50K
59,Local-gov,6,Widowed,Other-service,Unmarried,Other,Female,30,United-States,0,<=50K
19,Local-gov,10,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,0,<=50K
58,Private,10,Never-married,Transport-moving,Not-in-family,White,Male,20,United-States,0,<=50K
42,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,Other,Male,40,Other,0,>50K
20,Private,9,Never-married,Other-service,Own-child,White,Female,40,United-States,0,<=50K
32,Private,9,Separated,Other-service,Not-in-family,White,Female,30,United-States,0,<=50K
45,Private,11,Widowed,Exec-managerial,Not-in-family,White,Female,45,United-States,0,<=50K
50,Private,4,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0,<=50K
36,Private,13,Divorced,Prof-specialty,Own-child,White,Female,40,United-States,0,<=50K
45,Private,9,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,0,<=50K
17,Private,7,Never-married,Other-service,Own-child,White,Male,12,United-States,0,<=50K
59,Private,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,4064,<=50K
26,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0,<=50K
37,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,Other,Male,75,Other,0,>50K
64,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0,>50K
33,Private,13,Never-married,Prof-specialty,Not-in-family,White,Female,45,United-States,0,<=50K
33,Private,9,Married-civ-spouse,Craft-repair,Wife,White,Female,40,United-States,0,>50K
61,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0,>50K
17,Private,5,Never-married,Other-service,Own-child,White,Male,24,United-States,1055,<=50K
50,Self-emp-not-inc,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,98,United-States,2407,<=50K
27,Local-gov,14,Never-married,Prof-specialty,Own-child,White,Male,35,United-States,0,<=50K
30,Private,9,Divorced,Prof-specialty,Own-child,White,Female,40,United-States,0,<=50K
43,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,40,United-States,0,<=50K
44,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,7298,>50K
35,Private,10,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,0,<=50K
25,Private,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,0,<=50K
24,Private,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,48,United-States,7298,>50K
22,Private,13,Never-married,Prof-specialty,Not-in-family,White,Female,15,Other,0,<=50K
42,Local-gov,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,5178,>50K
34,Private,12,Divorced,Sales,Unmarried,Other,Female,45,United-States,0,<=50K
60,Private,13,Divorced,Prof-specialty,Not-in-family,White,Female,42,United-States,0,<=50K
21,Private,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,0,<=50K
57,Federal-gov,14,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,15024,>50K
41,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,0,>50K
50,Private,10,Divorced,Other-service,Not-in-family,White,Male,45,United-States,0,<=50K
25,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,0,<=50K
50,Private,4,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Other,0,<=50K
36,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,0,<=50K
31,Private,9,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,0,<=50K
29,Local-gov,13,Never-married,Protective-serv,Not-in-family,White,Male,56,United-States,0,<=50K
21,Private,10,Never-married,Sales,Own-child,White,Male,45,United-States,0,<=50K
27,Private,13,Never-married,Tech-support,Unmarried,Other,Female,40,United-States,0,<=50K
65,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,16,United-States,0,<=50K
37,Self-emp-inc,13,Divorced,Sales,Not-in-family,White,Female,60,United-States,0,<=50K
24,Private,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,0,<=50K
38,Private,9,Divorced,Sales,Not-in-family,White,Male,80,United-States,0,<=50K
48,Private,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,7688,>50K
21,Private,10,Never-married,Other-service,Not-in-family,Other,Female,25,United-States,0,<=50K
31,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,0,>50K
55,Private,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,4386,>50K
24,Private,10,Married-civ-spouse,Adm-clerical,Wife,Other,Female,40,Other,0,<=50K
43,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0,<=50K
26,Private,12,Never-married,Tech-support,Not-in-family,White,Male,45,United-States,0,<=50K
46,Private,12,Never-married,Prof-specialty,Not-in-family,White,Female,33,United-States,0,<=50K
35,Private,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,0,>50K
41,Self-emp-inc,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,54,United-States,0,>50K
26,Private,13,Never-married,Sales,Not-in-family,White,Male,40,United-States,0,<=50K
34,Private,14,Married-civ-spouse,Exec-managerial,Husband,Other,Male,35,Other,7298,>50K
36,Self-emp-not-inc,13,Divorced,Prof-specialty,Not-in-family,Other,Female,40,United-States,0,>50K
22,Private,10,Never-married,Sales,Own-child,White,Male,15,United-States,0,<=50K
24,Private,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0,<=50K
77,Self-emp-not-inc,10,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,0,<=50K
22,Private,3,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,40,Other,0,<=50K
29,Private,10,Never-married,Tech-support,Not-in-family,White,Female,40,United-States,0,<=50K
62,Private,9,Widowed,Other-service,Not-in-family,White,Female,24,United-States,0,<=50K
39,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,0,<=50K
43,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,-1485,<=50K
35,Private,9,Divorced,Transport-moving,Not-in-family,White,Male,45,United-States,0,<=50K
29,Private,7,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,0,<=50K
76,Self-emp-not-inc,14,Married-civ-spouse,Craft-repair,Husband,White,Male,10,United-States,0,<=50K
